Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte, \nTrue
ElectricallyActiveCell and StructuralCell SubClassOf SclerenchymaCell, \nFalse
ElectricallyActiveCell and StructuralCell SubClassOf LeafCell, \nTrue
ElectricallyActiveCell SubClassOf LeafCell, \nTrue
ElectricallyActiveCell SubClassOf SclerenchymaCell, \nFalse
ElectricallyActiveCell SubClassOf Erythrocyte, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell, \nTrue
ElectricallyActiveCell SubClassOf PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf CirculatingCell, \nTrue
ElectricallyActiveCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell, \nFalse
ElectricallyActiveCell SubClassOf PlantCell, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell, \nFalse
ElectricallyActiveCell SubClassOf CellByClass, \nFalse
ElectricallyActiveCell SubClassOf MatureCell, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell, \nFalse
ElectricallyActiveCell SubClassOf Cell, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf Miocyte, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf InMatureCell, \nFalse
ElectricallyActiveCell SubClassOf Osteocyte, \nFalse
ElectricallyActiveCell SubClassOf ChondroBlast, \nTrue
ElectricallyActiveCell SubClassOf Cell and ChondroBlast and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell, \nFalse
ElectricallyActiveCell SubClassOf MioBlast, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf CellByDevelopmentStage, \nTrue
ElectricallyActiveCell SubClassOf Cell and CellByDevelopmentStage and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and PhotosyntheticCell, \nFalse
ElectricallyActiveCell SubClassOf PhotoreceptorCell, \nTrue
ElectricallyActiveCell SubClassOf Cell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PhotosyntheticCell, \nTrue
