BallGame and FootballTeam SubClassOf Player, \nFalse
plays_for some BallGame SubClassOf Team, True
plays_for some BallGame SubClassOf Manager, True
BallGame SubClassOf Manager, \nTrue
BallGame SubClassOf Thing, \nTrue
BallGame SubClassOf Manager and Thing, \nTrue
BallGame SubClassOf Team, \nTrue
BallGame SubClassOf Manager and Team and Thing, \nFalse
BallGame SubClassOf Player, \nTrue
BallGame SubClassOf Manager and Player and Thing, \nFalse
BallGame SubClassOf FootballTeam, \nTrue
BallGame SubClassOf FootballTeam and Manager and Thing, \nFalse
BallGame SubClassOf Game, \nTrue
BallGame SubClassOf Game and Manager and Thing, \nTrue
BallGame SubClassOf FootballPlayer, False
BallGame SubClassOf Football, True
BallGame SubClassOf Football and Game and Manager and Thing, \nFalse
BallGame SubClassOf Person, \nFalse
BallGame SubClassOf Game and Manager and Team and Thing, \nFalse
BallGame SubClassOf Game and Manager and Player and Thing, \nTrue
BallGame SubClassOf FootballTeam and Game and Manager and Player and Thing, \nFalse
BallGame SubClassOf Football and Game and Manager and Player and Thing, \nFalse
BallGame and FootballTeam SubClassOf Person, \nFalse
FootballPlayer and Person SubClassOf Game, \nFalse
BallGame and FootballPlayer SubClassOf Football, \nTrue
BallGame and FootballPlayer SubClassOf Team, \nFalse
BallGame and FootballPlayer SubClassOf FootballTeam, \nFalse
FootballPlayer SubClassOf Football, \nTrue
FootballPlayer SubClassOf Thing, \nTrue
FootballPlayer SubClassOf Football and Thing, \nTrue
FootballPlayer SubClassOf Manager, \nFalse
FootballPlayer SubClassOf Team, \nTrue
FootballPlayer SubClassOf Football and Team and Thing, \nTrue
FootballPlayer SubClassOf Player, \nTrue
FootballPlayer SubClassOf Football and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf FootballTeam, \nTrue
FootballPlayer SubClassOf Football and FootballTeam and Player and Team and Thing, \nFalse
FootballPlayer SubClassOf Game, \nTrue
FootballPlayer SubClassOf Football and Game and Player and Team and Thing, \nFalse
FootballPlayer SubClassOf Person, \nTrue
FootballPlayer SubClassOf Football and Person and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf BallGame, \nTrue
FootballPlayer SubClassOf BallGame and Football and Person and Player and Team and Thing, \nFalse
FootballPlayer SubClassOf Football and FootballTeam and Person and Player and Team and Thing, \nFalse
FootballPlayer SubClassOf Football and Game and Person and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf BallGame and Football and Game and Person and Player and Team and Thing, \nTrue
managed_by some BallGame SubClassOf FootballPlayer, False
