teaches some Researcher SubClassOf Professor, \nTrue
teaches some Researcher SubClassOf University, \nTrue
Researcher SubClassOf University, True
Researcher SubClassOf Project, False
Researcher SubClassOf Module, \nTrue
Researcher SubClassOf Module and University, \nTrue
Researcher SubClassOf Professor, True
Researcher SubClassOf Module and Professor and University, \nFalse
Researcher SubClassOf Teacher, False
Researcher SubClassOf Person, \nTrue
Researcher SubClassOf Module and Person and University, \nFalse
manages some Project SubClassOf Person, \nFalse
Project SubClassOf Professor, \nFalse
teaches some Project SubClassOf University, \nFalse
Teacher and University SubClassOf Researcher, \nFalse
Teacher and University SubClassOf Person, \nTrue
Teacher and University SubClassOf Project, \nFalse
Teacher and University SubClassOf Module, \nFalse
Teacher and University SubClassOf Professor, \nTrue
University SubClassOf Professor, \nTrue
University SubClassOf Project, \nFalse
University SubClassOf Module, True
University SubClassOf Module and Professor, \nFalse
University SubClassOf Teacher, \nTrue
University SubClassOf Professor and Teacher, True
University SubClassOf Person, \nFalse
University SubClassOf Researcher, \nTrue
University SubClassOf Professor and Researcher and Teacher, \nTrue
University SubClassOf Module and Professor and Researcher and Teacher, \nTrue
Person and Project SubClassOf Researcher, \nTrue
Person and Project SubClassOf University, \nFalse
Person and Project SubClassOf Module, \nTrue
Project SubClassOf Module, \nTrue
Project SubClassOf University, True
Project SubClassOf Module and University, \nFalse
Project SubClassOf Teacher, True
Project SubClassOf Module and Teacher, \nFalse
Project SubClassOf Person, False
Project SubClassOf Researcher, True
Project SubClassOf Module and Researcher, \nTrue
Project SubClassOf Module and Researcher and University, \nTrue
Project SubClassOf Module and Researcher and Teacher and University, \nTrue
Professor and Teacher SubClassOf Researcher, \nTrue
Professor and Teacher SubClassOf University, \nTrue
Professor SubClassOf University, \nTrue
Professor SubClassOf Project, \nFalse
Professor SubClassOf Module, \nFalse
Professor SubClassOf Teacher, \nTrue
Professor SubClassOf Teacher and University, \nTrue
Professor SubClassOf Person, \nTrue
Professor SubClassOf Person and Teacher and University, \nFalse
Professor SubClassOf Researcher, \nTrue
Professor SubClassOf Researcher and Teacher and University, \nFalse
teaches some Researcher SubClassOf Person, \nTrue
Thing SubClassOf teaches some (Module and Professor and Researcher and Teacher and University), \nFalse
Thing SubClassOf University, \nTrue
Person SubClassOf teaches some Project, \nFalse
manages some University SubClassOf Person, False
Researcher SubClassOf teaches some Teacher, \nFalse
University SubClassOf teaches some Professor, \nFalse
teaches some University SubClassOf Project, \nTrue
Module and Professor and Researcher and Teacher and University and Thing SubClassOf Module and Professor and Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)), \nFalse
Module and Professor and Researcher and Teacher and University and Thing SubClassOf Project, \nFalse
Module and Professor and Researcher and Teacher and University and Thing SubClassOf Person, \nFalse
Module and Professor and Researcher and Teacher and University and Thing and (teaches some Module) and (teaches some (Professor and Researcher and Teacher and University and Thing)) SubClassOf Module and Professor and Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)), \nHere
Module and Professor and Researcher and Teacher and University and Thing and (teaches some Module) and (teaches some (Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Module and Professor and Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Module and Professor and Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)), \nTrue
Professor and Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nTrue
Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nTrue
Teacher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Researcher and University and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Researcher and Teacher and Thing and (teaches some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Researcher and Teacher and University and Thing and (teaches some (Professor and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Researcher and Teacher and University and Thing and (teaches some (Module and Researcher and Teacher and University and Thing)) SubClassOf Project, \nFalse
Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Teacher and University and Thing)) SubClassOf Project, \nTrue
Researcher and Teacher and University and Thing and (teaches some (Module and Professor and University and Thing)) SubClassOf Project, \nFalse
Researcher and Teacher and University and Thing and (teaches some (Module and Professor and Teacher and Thing)) SubClassOf Project, \nFalse
Teacher SubClassOf manages some Researcher, \nTrue
Teacher SubClassOf Project, \nFalse
Teacher SubClassOf Person, False
University SubClassOf manages some Researcher, \nFalse
Project SubClassOf manages some Researcher, \nFalse
Module SubClassOf manages some Researcher, \nFalse
Professor SubClassOf manages some Researcher, \nTrue
University and (manages some Researcher) SubClassOf University and (manages some Researcher), \nFalse
Professor SubClassOf Professor, \nTrue
Teacher SubClassOf Professor, True
Person SubClassOf Professor, True
Professor SubClassOf Teacher and University and (manages some Researcher), \nFalse
Professor SubClassOf Person and University and (manages some Researcher), \nTrue
Professor SubClassOf Person and Researcher and University and (manages some Researcher), \nFalse
Professor SubClassOf Person and University and (manages some (Researcher and University)), \nTrue
Professor SubClassOf Person and University and (manages some (Professor and Researcher and University)), \nFalse
Professor SubClassOf Person and University and (manages some (Researcher and Teacher and University)), \nTrue
Professor SubClassOf Person and University and (manages some (Person and Researcher and Teacher and University)), \nFalse
Person and University and Thing and (manages some (Researcher and Teacher and University)) SubClassOf Person and University and Thing and (manages some (Researcher and Teacher and University)), \nTrue
Module and Person and Teacher and University and Thing and (manages some (Researcher and Teacher and University)) SubClassOf Module and Person and Teacher and University and Thing and (manages some (Researcher and Teacher and University)), \nFalse
Professor SubClassOf Module and Person and Researcher and Teacher and University and Thing and (manages some (Researcher and Teacher and University)), \nTrue
Professor SubClassOf Module and Person and Researcher and Teacher and University and Thing and (manages some (Professor and Researcher and Teacher and University)), \nTrue
Professor SubClassOf Module and Person and Researcher and Teacher and University and Thing and (manages some (Person and Professor and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Researcher and Teacher and University and Thing and (manages some (Person and Professor and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Researcher and Teacher and University and Thing and (manages some (Person and Professor and Researcher and Teacher and University)), \nTrue
University SubClassOf Person and Professor and Researcher and Teacher and University, \nFalse
Project SubClassOf Person and Professor and Researcher and Teacher and University, \nFalse
Module SubClassOf Person and Professor and Researcher and Teacher and University, \nTrue
Professor SubClassOf employed_by some Professor, \nTrue
University SubClassOf employed_by some Professor, \nTrue
University and (employed_by some Professor) SubClassOf University and (employed_by some Professor), \nTrue
University SubClassOf Module and University and (employed_by some Professor), \nTrue
University SubClassOf Module and Professor and University and (employed_by some Professor), \nTrue
University SubClassOf Module and Professor and Teacher and University and (employed_by some Professor), \nTrue
University SubClassOf Module and Professor and Researcher and Teacher and University and (employed_by some Professor), \nTrue
University SubClassOf University, \nTrue
University SubClassOf Module and Professor and Researcher and Teacher and University and (employed_by some (Professor and University)), \nTrue
University SubClassOf Module and Professor and Researcher and Teacher and University and (employed_by some (Module and Professor and University)), \nTrue
University SubClassOf Module and Professor and Researcher and Teacher and University and (employed_by some (Module and Professor and Teacher and University)), \nTrue
University SubClassOf Module and Professor and Researcher and Teacher and University and (employed_by some (Module and Professor and Researcher and Teacher and University)), \nTrue
Module and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University)) SubClassOf Module and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University and Thing)) SubClassOf Module and Person and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Professor and Researcher and Teacher and University and Thing)), \nTrue
employed_by some Professor SubClassOf Project, True
Module and Person and Professor and Researcher and Teacher and University and Thing SubClassOf Module and Person and Professor and Researcher and Teacher and University and Thing and (employed_by some (Module and Person and Professor and Researcher and Teacher and University and Thing)), \nFalse
Module and Person and Professor and Researcher and Teacher and University and Thing SubClassOf Project, \nFalse
