HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure, \nTrue
HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf ChildDepressionScore, \nFalse
HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf MolecularMeasure, \nTrue
ModerateMontgomeryAsbergDepressionRating SubClassOf MolecularMeasure, \nFalse
HomocysteineLevel SubClassOf MolecularMeasure, \nTrue
HomocysteineLevel SubClassOf ChildDepressionScore, \nFalse
HomocysteineLevel SubClassOf RemissionFrequency, \nFalse
HomocysteineLevel SubClassOf SatietyFrequency, False
HomocysteineLevel SubClassOf ModerateReductionInHamiltonAnxietyScore, \nTrue
HomocysteineLevel SubClassOf ModerateReductionInHamiltonAnxietyScore and MolecularMeasure, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure, \nTrue
HomocysteineLevel SubClassOf ERVisitFrequency, \nFalse
HomocysteineLevel SubClassOf ForcedExperiatoryVolume, \nFalse
HomocysteineLevel SubClassOf DailyBloodPressure, \nFalse
HomocysteineLevel SubClassOf HighRemission, False
HomocysteineLevel SubClassOf WeigthDifference, False
HomocysteineLevel SubClassOf GeneExpressionDifference, \nFalse
HomocysteineLevel SubClassOf ExerciseResponse, \nFalse
HomocysteineLevel SubClassOf NeoplasmFrequency, \nFalse
HomocysteineLevel SubClassOf GenotypeMeasure, \nFalse
HomocysteineLevel SubClassOf HighReductionInMontgomeryAsbergDepressionRating, \nFalse
HomocysteineLevel SubClassOf QualityOfLife, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nTrue
HomocysteineLevel SubClassOf AirwayResponsivenessUsingMethacholine, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and AirwayResponsivenessUsingMethacholine and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf HighReductionInHamiltonAnxietyScore, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nTrue
HomocysteineLevel SubClassOf ModerateHamiltonDepressionScore, \nFalse
HomocysteineLevel SubClassOf LowReductionInChildDepressionScore, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nTrue
HomocysteineLevel SubClassOf BodyMassIndexDifference, \nFalse
HomocysteineLevel SubClassOf HighHamiltonDepressionScore, False
HomocysteineLevel SubClassOf HigherDiseaseSusceptibiltyOdds, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nTrue
HomocysteineLevel SubClassOf ForcedVitalCapacity, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and ForcedVitalCapacity and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf HamiltonDepressionMeasure, \nFalse
HomocysteineLevel SubClassOf PlasmaDrugConcentration, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and PlasmaDrugConcentration and QualityOfLife, \nHere
HomocysteineLevel SubClassOf ElectrocardiogramQTInterval, \nFalse
HomocysteineLevel SubClassOf PharmacokineticMeasure, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and PharmacokineticMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf LowMontgomeryAsbergDepressionRating, \nFalse
HomocysteineLevel SubClassOf RemissionMeasure, \nFalse
HomocysteineLevel SubClassOf BiologicalMeasure, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and BiologicalMeasure and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf GeneExpressionMeasure, \nFalse
HomocysteineLevel SubClassOf CellCount, \nFalse
HomocysteineLevel SubClassOf ASAAMeasure, \nFalse
HomocysteineLevel SubClassOf PopulationVariation, False
HomocysteineLevel SubClassOf MetabolicMeasure, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and MetabolicMeasure and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf TaxonomicMeasure, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife and TaxonomicMeasure, \nHere
HomocysteineLevel SubClassOf LowRemission, False
HomocysteineLevel SubClassOf DrugClearance, False
HomocysteineLevel SubClassOf ASAAConcentrationDifference, \nFalse
HomocysteineLevel SubClassOf MontgomeryAsbergDepressionRatingDifference, \nFalse
HomocysteineLevel SubClassOf ASAAConcentrationDecrease, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationDecrease and ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nHere
HomocysteineLevel SubClassOf ModerateMontgomeryAsbergDepressionRating, \nFalse
HomocysteineLevel SubClassOf BodyMassIndexMeasure, \nFalse
HomocysteineLevel SubClassOf IncreasedGeneExpression, \nTrue
HomocysteineLevel SubClassOf ASAAConcentrationIncrease and HighReductionInHamiltonAnxietyScore and HigherDiseaseSusceptibiltyOdds and IncreasedGeneExpression and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MolecularMeasure and QualityOfLife, \nTrue
HomocysteineLevel SubClassOf PathogenCount, \nFalse
HomocysteineLevel SubClassOf SimilarDiseaseSusceptibilityOdds, \nTrue
