Crop and MarinePlant SubClassOf Arthropod, \nFalse
Canopy and MarineMicrobiota SubClassOf Macroalgae, \nFalse
MarineInvertebrate and Poultry SubClassOf Human, \nFalse
Diatom and Human SubClassOf Invertebrate, \nTrue
Diatom and Human SubClassOf VegetationCover, \nTrue
Diatom SubClassOf VegetationCover, \nFalse
Human SubClassOf VegetationCover, \nFalse
Amphibian and Coral SubClassOf VegetationCover, \nFalse
Algae and Mammal SubClassOf Reptile, \nFalse
Coccolithophore and Sponge SubClassOf Roundworm, \nFalse
FloweringPlant and MarineBird SubClassOf Canopy, False
MarineMammal and Roundworm SubClassOf MarineBird, False
Amoebae and Leaf SubClassOf Flatworm, \nFalse
IndigenousVegetation and Invertebrate SubClassOf SlimeMold, \nTrue
IndigenousVegetation and Invertebrate SubClassOf VegetationCover, \nFalse
IndigenousVegetation and Invertebrate SubClassOf Microalgae, \nTrue
IndigenousVegetation SubClassOf Microalgae, \nFalse
Invertebrate SubClassOf Microalgae, \nFalse
Foraminifer and Vegetation SubClassOf Millipede, \nFalse
Fungi and MarineMicrobiota SubClassOf Zooplankton, \nFalse
DeciduousVegetation and Microbiota SubClassOf Mammal, \nFalse
Moss and Reptile SubClassOf IndigenousSpecies, \nTrue
Moss and Reptile SubClassOf VegetationCover, \nTrue
Moss SubClassOf VegetationCover, \nTrue
Moss SubClassOf Microalgae, \nFalse
Moss SubClassOf Fungi, \nFalse
Moss SubClassOf Arachnid, \nFalse
Moss SubClassOf VegetationSpecies, \nTrue
Moss SubClassOf VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf Livestock, \nFalse
Moss SubClassOf Sponge, \nFalse
Moss SubClassOf Flatworm, \nFalse
Moss SubClassOf Diatom, \nFalse
Moss SubClassOf FungiTaxonomy, \nTrue
Moss SubClassOf FungiTaxonomy and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf MarinePlant, \nTrue
Moss SubClassOf FungiTaxonomy and MarinePlant and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf Vertebrate, False
Moss SubClassOf Radiolarian, \nFalse
Moss SubClassOf Human, False
Moss SubClassOf MarineMicrobiota, \nFalse
Moss SubClassOf Animal, \nFalse
Moss SubClassOf Flagellate, \nFalse
Moss SubClassOf Poultry, False
Moss SubClassOf MarineMammal, False
Moss SubClassOf Amphibian, \nFalse
Moss SubClassOf Millipede, \nFalse
Moss SubClassOf Plankton, \nFalse
Moss SubClassOf Roundworm, \nFalse
Moss SubClassOf Microphyte, \nTrue
Moss SubClassOf FungiTaxonomy and MarinePlant and Microphyte and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf SlimeMold, \nFalse
Moss SubClassOf Microbiota, \nFalse
Moss SubClassOf MicrobiotaTaxonomy, \nTrue
Moss SubClassOf FungiTaxonomy and MarinePlant and MicrobiotaTaxonomy and Microphyte and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Coccolithophore, \nFalse
Moss SubClassOf Lichen, \nFalse
Moss SubClassOf Leaf, \nFalse
Moss SubClassOf Pollen, False
Moss SubClassOf Mushroom, \nFalse
Moss SubClassOf Fish, \nFalse
Moss SubClassOf Reptile, False
Moss SubClassOf MarineAnimal, \nFalse
Moss SubClassOf Macroalgae, \nFalse
Moss SubClassOf Foraminifer, \nFalse
Moss SubClassOf Dairy, \nFalse
Moss SubClassOf Liverwort, \nFalse
Moss SubClassOf Crustacean, \nFalse
Moss SubClassOf Canopy, \nFalse
Moss SubClassOf Coral, False
Moss SubClassOf ExoticVegetation, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and MarinePlant and Microphyte and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf Macrophyte, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and Microphyte and VegetationCover and VegetationSpecies, \nTrue
Moss SubClassOf SegmentedWorm, \nFalse
Moss SubClassOf LivingThing, \nTrue
Moss SubClassOf ExoticVegetation and FungiTaxonomy and LivingThing and Macrophyte and MarinePlant and Microphyte and VegetationCover and VegetationSpecies, \nHere
Moss SubClassOf Bird, \nFalse
Moss SubClassOf Fern, \nFalse
Moss SubClassOf DominantSpecies, \nFalse
Moss SubClassOf BlueGreenAlgae, \nFalse
Moss SubClassOf EvergreenVegetation, \nTrue
Moss SubClassOf EvergreenVegetation and ExoticVegetation and FungiTaxonomy and Macrophyte and MarinePlant and Microphyte and VegetationCover and VegetationSpecies, \nHere
