Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte, \nFalse
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte, \nFalse
Miocyte and StructuralCell SubClassOf LeafCell, \nTrue
Miocyte and StructuralCell SubClassOf SclerenchymaCell, \nTrue
Miocyte SubClassOf SclerenchymaCell, \nFalse
StructuralCell SubClassOf SclerenchymaCell, \nTrue
StructuralCell SubClassOf LeafCell, False
StructuralCell SubClassOf Erythrocyte, \nTrue
StructuralCell SubClassOf Erythrocyte and SclerenchymaCell, \nFalse
StructuralCell SubClassOf PhotosyntheticCell, \nTrue
StructuralCell SubClassOf PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CirculatingCell, \nFalse
StructuralCell SubClassOf PlantCell, False
StructuralCell SubClassOf CellByClass, True
StructuralCell SubClassOf CellByClass and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf MatureCell, \nTrue
StructuralCell SubClassOf CellByClass and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf AnimalCell, False
StructuralCell SubClassOf Cell, True
StructuralCell SubClassOf Cell and CellByClass and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Miocyte, \nTrue
StructuralCell SubClassOf Cell and CellByClass and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf InMatureCell, \nFalse
StructuralCell SubClassOf Osteocyte, \nTrue
StructuralCell SubClassOf Cell and CellByClass and MatureCell and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf ChondroBlast, \nTrue
StructuralCell SubClassOf Cell and CellByClass and ChondroBlast and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf MioBlast, \nTrue
StructuralCell SubClassOf Cell and CellByClass and MatureCell and MioBlast and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf CellByDevelopmentStage, \nFalse
StructuralCell SubClassOf PhotoreceptorCell, \nTrue
StructuralCell SubClassOf Cell and CellByClass and MatureCell and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf CellByOrganism, True
StructuralCell SubClassOf Cell and CellByClass and CellByOrganism and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf ElectricallyActiveCell, False
StructuralCell SubClassOf Neuron, \nTrue
StructuralCell SubClassOf Cell and CellByClass and MatureCell and Neuron and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf ChondroCyte, \nTrue
StructuralCell SubClassOf Cell and CellByClass and ChondroCyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf Cell and CellByClass and Erythrocyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nHere
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell, \nTrue
CellByDevelopmentStage and LeafCell SubClassOf SclerenchymaCell, \nFalse
CellByDevelopmentStage and LeafCell SubClassOf Erythrocyte, \nTrue
LeafCell SubClassOf Erythrocyte, \nFalse
CellByDevelopmentStage SubClassOf Erythrocyte, \nFalse
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte, \nFalse
Cell and MatureCell SubClassOf Osteocyte, \nTrue
Cell and MatureCell SubClassOf SclerenchymaCell, \nTrue
Cell SubClassOf SclerenchymaCell, \nFalse
MatureCell SubClassOf SclerenchymaCell, \nFalse
CellByClass and InMatureCell SubClassOf AnimalCell, \nTrue
CellByClass and InMatureCell SubClassOf SclerenchymaCell, \nFalse
CellByClass and InMatureCell SubClassOf LeafCell, \nFalse
CellByClass and InMatureCell SubClassOf Erythrocyte, \nTrue
InMatureCell SubClassOf Erythrocyte, \nFalse
CellByClass SubClassOf Erythrocyte, \nFalse
ChondroCyte and LeafCell SubClassOf Neuron, \nFalse
CirculatingCell and LeafCell SubClassOf Neuron, \nFalse
CellByOrganism and ChondroCyte SubClassOf AnimalCell, \nTrue
CellByOrganism and ChondroCyte SubClassOf SclerenchymaCell, \nTrue
CellByOrganism SubClassOf SclerenchymaCell, \nTrue
CellByOrganism SubClassOf LeafCell, False
CellByOrganism SubClassOf Erythrocyte, \nTrue
CellByOrganism SubClassOf Erythrocyte and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf PhotosyntheticCell, \nTrue
CellByOrganism SubClassOf Erythrocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf CirculatingCell, False
CellByOrganism SubClassOf PlantCell, False
CellByOrganism SubClassOf CellByClass, \nTrue
CellByOrganism SubClassOf CellByClass and Erythrocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf MatureCell, \nTrue
CellByOrganism SubClassOf CellByClass and Erythrocyte and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf AnimalCell, \nFalse
CellByOrganism SubClassOf Cell, \nTrue
