teaches some Researcher SubClassOf Professor, True
teaches some Researcher SubClassOf University, False
teaches some Researcher SubClassOf Project, \nTrue
Researcher SubClassOf Project, \nTrue
Researcher SubClassOf University, \nTrue
Researcher SubClassOf Project and University, \nTrue
Researcher SubClassOf Module, False
Researcher SubClassOf Professor, True
Researcher SubClassOf Professor and Project and University, \nTrue
Researcher SubClassOf Teacher, \nTrue
Researcher SubClassOf Professor and Project and Teacher and University, \nTrue
Researcher SubClassOf Person, True
Researcher SubClassOf Person and Professor and Project and Teacher and University, \nTrue
manages some Project SubClassOf Person, True
manages some Project SubClassOf University, \nTrue
Project SubClassOf University, \nTrue
Project SubClassOf Module, \nTrue
Project SubClassOf Module and University, \nTrue
Project SubClassOf Professor, \nTrue
Project SubClassOf Module and Professor and University, \nTrue
Project SubClassOf Teacher, \nTrue
Project SubClassOf Module and Professor and Teacher and University, \nTrue
Project SubClassOf Person, True
Project SubClassOf Module and Person and Professor and Teacher and University, \nTrue
Project SubClassOf Researcher, True
Project SubClassOf Module and Person and Professor and Researcher and Teacher and University, \nHere
teaches some Project SubClassOf University, \nTrue
Thing SubClassOf teaches some (Module and Person and Professor and Project and Teacher and University), \nHere
Thing SubClassOf University, False
Thing SubClassOf Project, False
Thing SubClassOf Module, False
Thing SubClassOf Professor, True
Teacher and University SubClassOf Researcher, \nTrue
Teacher and University SubClassOf Project, \nTrue
University SubClassOf Project, \nTrue
University SubClassOf Module, \nTrue
University SubClassOf Module and Project, \nTrue
University SubClassOf Professor, \nTrue
University SubClassOf Module and Professor and Project, \nTrue
University SubClassOf Teacher, False
University SubClassOf Person, \nTrue
University SubClassOf Module and Person and Professor and Project, \nTrue
University SubClassOf Researcher, True
University SubClassOf Module and Person and Professor and Project and Researcher, \nTrue
Professor and Teacher SubClassOf Researcher, \nFalse
teaches some Researcher SubClassOf Person, False
Person and Teacher SubClassOf University, \nTrue
Teacher SubClassOf University, \nTrue
Teacher SubClassOf Project, False
Teacher SubClassOf Module, False
Teacher SubClassOf Professor, \nTrue
Teacher SubClassOf Professor and University, \nFalse
Teacher SubClassOf Person, False
Teacher SubClassOf Researcher, \nTrue
Teacher SubClassOf Researcher and University, \nTrue
Teacher SubClassOf Professor and Researcher and University, \nTrue
Person SubClassOf teaches some Project, False
manages some University SubClassOf Person, True
manages some University SubClassOf University, \nTrue
University SubClassOf University, \nTrue
Professor and Thing SubClassOf Professor and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Professor and Thing and (manages some Module) and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Professor and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Professor and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Professor and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (University and Thing)) SubClassOf University, \nTrue
Thing and (manages some Thing) SubClassOf University, \nTrue
Person SubClassOf Module, False
Researcher SubClassOf teaches some Teacher, True
University SubClassOf teaches some Teacher, \nTrue
Thing and (teaches some Teacher) SubClassOf Thing and (teaches some Teacher), \nTrue
Module SubClassOf Teacher, \nTrue
Module SubClassOf University, \nTrue
