Neuron and StructuralCell SubClassOf Erythrocyte, True
Neuron and StructuralCell SubClassOf SclerenchymaCell, True
StructuralCell SubClassOf SclerenchymaCell, True
StructuralCell SubClassOf LeafCell, True
StructuralCell SubClassOf LeafCell and SclerenchymaCell, True
StructuralCell SubClassOf Erythrocyte, True
StructuralCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
StructuralCell SubClassOf PhotosyntheticCell, True
StructuralCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
StructuralCell SubClassOf CirculatingCell, True
StructuralCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
StructuralCell SubClassOf PlantCell, True
StructuralCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
StructuralCell SubClassOf CellByClass, True
StructuralCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf MatureCell, \nTrue
StructuralCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
StructuralCell SubClassOf AnimalCell, True
StructuralCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Cell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Miocyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf InMatureCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Osteocyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf ChondroBlast, \nTrue
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf MioBlast, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nFalse
StructuralCell SubClassOf CellByDevelopmentStage, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf PhotoreceptorCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf CellByOrganism, \nTrue
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf ElectricallyActiveCell, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
StructuralCell SubClassOf Neuron, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nMan
StructuralCell SubClassOf ChondroCyte, True
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
StructuralCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte, \nTrue
CellByDevelopmentStage and InMatureCell SubClassOf SclerenchymaCell, \nTrue
InMatureCell SubClassOf SclerenchymaCell, True
InMatureCell SubClassOf LeafCell, True
InMatureCell SubClassOf LeafCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Erythrocyte, True
InMatureCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
InMatureCell SubClassOf PhotosyntheticCell, True
InMatureCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
InMatureCell SubClassOf CirculatingCell, True
InMatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
InMatureCell SubClassOf PlantCell, True
InMatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
InMatureCell SubClassOf CellByClass, \nTrue
InMatureCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
InMatureCell SubClassOf MatureCell, \nTrue
InMatureCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
InMatureCell SubClassOf AnimalCell, True
InMatureCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
InMatureCell SubClassOf Cell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Miocyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf Osteocyte, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf ChondroBlast, \nTrue
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf MioBlast, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByDevelopmentStage, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf PhotoreceptorCell, True
InMatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf CellByOrganism, True
