BallGame and FootballTeam SubClassOf Player, True
BallGame and FootballTeam SubClassOf Manager, \nFalse
BallGame and FootballTeam SubClassOf Team, \nTrue
FootballTeam SubClassOf Team, True
FootballTeam SubClassOf Thing, True
FootballTeam SubClassOf Team and Thing, True
FootballTeam SubClassOf Manager, True
FootballTeam SubClassOf Manager and Team and Thing, True
FootballTeam SubClassOf Player, True
FootballTeam SubClassOf Manager and Player and Team and Thing, True
FootballTeam SubClassOf Game, True
FootballTeam SubClassOf Game and Manager and Player and Team and Thing, True
FootballTeam SubClassOf FootballPlayer, True
FootballTeam SubClassOf FootballPlayer and Game and Manager and Player and Team and Thing, True
FootballTeam SubClassOf Football, True
FootballTeam SubClassOf Football and FootballPlayer and Game and Manager and Player and Team and Thing, True
FootballTeam SubClassOf Person, False
FootballTeam SubClassOf BallGame, True
FootballTeam SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Player and Team and Thing, \nTrue
plays_for some BallGame SubClassOf Team, \nTrue
plays_for some BallGame SubClassOf Manager, True
BallGame SubClassOf Manager, False
Thing SubClassOf Thing and (plays_for some (BallGame and Thing)), True
BallGame and Thing SubClassOf Manager, \nFalse
BallGame and Thing SubClassOf Team, True
Thing SubClassOf Team, False
BallGame and FootballTeam SubClassOf Person, \nTrue
BallGame SubClassOf Person, False
FootballPlayer and Person SubClassOf Game, \nTrue
FootballPlayer and Person SubClassOf Manager, True
FootballPlayer SubClassOf Manager, True
FootballPlayer SubClassOf Thing, True
FootballPlayer SubClassOf Manager and Thing, True
FootballPlayer SubClassOf Team, True
FootballPlayer SubClassOf Manager and Team and Thing, True
FootballPlayer SubClassOf Player, True
FootballPlayer SubClassOf Manager and Player and Team and Thing, True
FootballPlayer SubClassOf FootballTeam, True
FootballPlayer SubClassOf FootballTeam and Manager and Player and Team and Thing, True
FootballPlayer SubClassOf Game, True
FootballPlayer SubClassOf FootballTeam and Game and Manager and Player and Team and Thing, True
FootballPlayer SubClassOf Football, True
FootballPlayer SubClassOf Football and FootballTeam and Game and Manager and Player and Team and Thing, True
FootballPlayer SubClassOf Person, True
FootballPlayer SubClassOf Football and FootballTeam and Game and Manager and Person and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf BallGame, True
FootballPlayer SubClassOf BallGame and Football and FootballTeam and Game and Manager and Person and Player and Team and Thing, True
managed_by some BallGame SubClassOf FootballPlayer, True
managed_by some BallGame SubClassOf Manager, True
Thing SubClassOf Thing and (managed_by some (BallGame and Team and Thing)), True
BallGame and Team and Thing SubClassOf Manager, \nTrue
Team and Thing SubClassOf Manager, True
Thing SubClassOf Manager, True
BallGame and Manager SubClassOf Game, \nTrue
BallGame and Manager SubClassOf Player, True
Manager SubClassOf Player, True
Manager SubClassOf Thing, \nFalse
Manager SubClassOf Team, True
Manager SubClassOf Player and Team, True
Manager SubClassOf FootballTeam, True
Manager SubClassOf FootballTeam and Player and Team, True
Manager SubClassOf Game, \nTrue
Manager SubClassOf FootballTeam and Game and Player and Team, \nTrue
Manager SubClassOf FootballPlayer, True
Manager SubClassOf FootballPlayer and FootballTeam and Game and Player and Team, True
Manager SubClassOf Football, False
Manager SubClassOf Person, True
Manager SubClassOf FootballPlayer and FootballTeam and Game and Person and Player and Team, \nTrue
Manager SubClassOf BallGame, True
Manager SubClassOf BallGame and FootballPlayer and FootballTeam and Game and Person and Player and Team, \nTrue
Game SubClassOf plays some BallGame, \nTrue
Thing SubClassOf plays some BallGame, \nTrue
Manager and (plays some BallGame) SubClassOf Manager and (plays some BallGame), True
Thing SubClassOf Player, True
Thing SubClassOf Manager and Player and (plays some BallGame), True
Thing SubClassOf FootballTeam, \nFalse
Thing SubClassOf Game, True
Thing SubClassOf Game and Manager and Player and (plays some BallGame), True
Thing SubClassOf FootballPlayer, \nTrue
Thing SubClassOf FootballPlayer and Game and Manager and Player and (plays some BallGame), True
Thing SubClassOf Football, True
Thing SubClassOf Football and FootballPlayer and Game and Manager and Player and (plays some BallGame), True
Thing SubClassOf Person, True
Thing SubClassOf Football and FootballPlayer and Game and Manager and Person and Player and (plays some BallGame), True
Thing SubClassOf BallGame, True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some BallGame), \nTrue
Thing SubClassOf Thing, True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Thing)), True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Manager and Thing)), True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Manager and Player and Thing)), True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Game and Manager and Player and Thing)), \nTrue
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and FootballPlayer and Game and Manager and Player and Thing)), \nTrue
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Player and Thing)), True
Thing SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)), \nTrue
BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)) SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)), True
BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)) SubClassOf BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)), True.
BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)) SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing and (plays some (BallGame and Football and FootballPlayer and Game and Manager and Person and Player and Thing)), True
FootballTeam SubClassOf managed_by some Team, True
Thing SubClassOf managed_by some Team, True
Manager and (managed_by some Team) SubClassOf Manager and (managed_by some Team), True
Thing SubClassOf Manager and Player and (managed_by some Team), True
Thing SubClassOf Game and Manager and Player and (managed_by some Team), \nTrue
Thing SubClassOf FootballPlayer and Game and Manager and Player and (managed_by some Team), True
