teaches some Researcher SubClassOf Professor, \nTrue
teaches some Researcher SubClassOf University, \nTrue
Researcher SubClassOf University, True
Researcher SubClassOf Project, \nTrue
Researcher SubClassOf Project and University, \nTrue
Researcher SubClassOf Module, True
Researcher SubClassOf Module and Project and University, \nTrue
Researcher SubClassOf Professor, \nTrue
Researcher SubClassOf Module and Professor and Project and University, \nTrue
Researcher SubClassOf Teacher, True
Researcher SubClassOf Module and Professor and Project and Teacher and University, \nTrue
Researcher SubClassOf Person, True
Researcher SubClassOf Module and Person and Professor and Project and Teacher and University, \nTrue
manages some Project SubClassOf Person, True
manages some Project SubClassOf University, \nTrue
Project SubClassOf University, \nTrue
Project SubClassOf Module, \nTrue
Project SubClassOf Module and University, \nIn
Project SubClassOf Professor, \nFalse
Project SubClassOf Teacher, \nTrue
Project SubClassOf Teacher and University, \nTrue
Project SubClassOf Person, True
Project SubClassOf Person and Teacher and University, \nTrue
Project SubClassOf Researcher, True
Project SubClassOf Person and Researcher and Teacher and University, True
Project SubClassOf Module and Person and Researcher and Teacher and University, \nTrue
teaches some Project SubClassOf University, \nTrue
Thing SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), \nTrue
(teaches some Module) and (teaches some (Person and Professor and Project and Researcher and Teacher and University)) SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), True
teaches some (Module and Person and Professor and Project and Researcher and Teacher and University) SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), \nTrue
teaches some (Person and Professor and Project and Researcher and Teacher and University) SubClassOf University, True
teaches some (Professor and Project and Researcher and Teacher and University) SubClassOf University, \nTrue
teaches some (Project and Researcher and Teacher and University) SubClassOf University, \nTrue
teaches some (Researcher and Teacher and University) SubClassOf University, \nTrue
teaches some (Teacher and University) SubClassOf University, True
teaches some University SubClassOf University, \nTrue
teaches some Thing SubClassOf University, \nTrue
Teacher and University SubClassOf Researcher, \nTrue
Teacher and University SubClassOf Project, \nTrue
University SubClassOf Project, True
University SubClassOf Module, True
University SubClassOf Module and Project, True
University SubClassOf Professor, True
University SubClassOf Module and Professor and Project, \nTrue
University SubClassOf Teacher, True
University SubClassOf Module and Professor and Project and Teacher, True
University SubClassOf Person, True
University SubClassOf Module and Person and Professor and Project and Teacher, True
University SubClassOf Researcher, True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher, True
Professor and Teacher SubClassOf Researcher, True
Professor and Teacher SubClassOf University, \nTrue
Professor SubClassOf University, True
Professor SubClassOf Project, True
Professor SubClassOf Project and University, True
Professor SubClassOf Module, \nTrue
Professor SubClassOf Module and Project and University, \nTrue
Professor SubClassOf Teacher, \nTrue
Professor SubClassOf Module and Project and Teacher and University, True
Professor SubClassOf Person, True
Professor SubClassOf Module and Person and Project and Teacher and University, True
Professor SubClassOf Researcher, \nTrue
Professor SubClassOf Module and Person and Project and Researcher and Teacher and University, \nTrue
Person and Teacher SubClassOf University, True
Teacher SubClassOf University, \nFalse
Person SubClassOf University, True
Person SubClassOf Project, True
Person SubClassOf Project and University, True
Person SubClassOf Module, False
Person SubClassOf Professor, True
Person SubClassOf Professor and Project and University, True
Person SubClassOf Teacher, \nTrue
Person SubClassOf Professor and Project and Teacher and University, True
Person SubClassOf Researcher, True
Person SubClassOf Professor and Project and Researcher and Teacher and University, True
Person SubClassOf teaches some Project, \nTrue
University SubClassOf teaches some Project, \nTrue
University and (teaches some Project) SubClassOf University and (teaches some Project), \nTrue
Module SubClassOf Project, \nTrue
Module SubClassOf University, True
Module SubClassOf Project and University, True
Module SubClassOf Professor, \nTrue
Module SubClassOf Professor and Project and University, \nTrue
Module SubClassOf Teacher, True
Module SubClassOf Professor and Project and Teacher and University, True
Module SubClassOf Person, True
Module SubClassOf Person and Professor and Project and Teacher and University, \nTrue
Module SubClassOf Researcher, \nTrue
Module SubClassOf Person and Professor and Project and Researcher and Teacher and University, \nTrue
manages some University SubClassOf Person, True
manages some University SubClassOf University, True
University SubClassOf University, True
Thing SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), True
Thing and (manages some Module) and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), True
Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), True
Thing and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nFalse
Thing and (manages some (Person and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nFalse
Thing and (manages some (Person and Professor and Researcher and Teacher and University and Thing)) SubClassOf University, True
Thing and (manages some (Person and Professor and Teacher and University and Thing)) SubClassOf University, \nFalse
Thing and (manages some (Person and Professor and Researcher and University and Thing)) SubClassOf University, True
Thing and (manages some (Person and Professor and Researcher and Thing)) SubClassOf University, \nTrue
Researcher SubClassOf teaches some Teacher, \nTrue
University SubClassOf teaches some Teacher, \nTrue
University and (teaches some Teacher) SubClassOf University and (teaches some Teacher), True
University SubClassOf Project and University and (teaches some Teacher), True
University SubClassOf Module and Project and University and (teaches some Teacher), True
University SubClassOf Module and Professor and Project and University and (teaches some Teacher), \nTrue
University SubClassOf Module and Professor and Project and Teacher and University and (teaches some Teacher), True
University SubClassOf Module and Person and Professor and Project and Teacher and University and (teaches some Teacher), True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some Teacher), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Project and Teacher and University)), True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Person and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Teacher SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University, True
University SubClassOf teaches some Professor, \nTrue
University and (teaches some Professor) SubClassOf University and (teaches some Professor), True
University SubClassOf Project and University and (teaches some Professor), True
University SubClassOf Module and Project and University and (teaches some Professor), \nTrue
University SubClassOf Module and Professor and Project and University and (teaches some Professor), \nTrue
University SubClassOf Module and Professor and Project and Teacher and University and (teaches some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Teacher and University and (teaches some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some Professor), True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Professor and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Professor and Project and University)), True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Professor and Project and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), True
Teacher SubClassOf manages some Researcher, \nTrue
University SubClassOf manages some Researcher, True
University and (manages some Researcher) SubClassOf University and (manages some Researcher), True
University SubClassOf Project and University and (manages some Researcher), True
University SubClassOf Module and Project and University and (manages some Researcher), True
University SubClassOf Module and Professor and Project and University and (manages some Researcher), \nTrue
University SubClassOf Module and Professor and Project and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Researcher and University)), \nTrue
