Crop and MarinePlant SubClassOf Arthropod, True
Crop and MarinePlant SubClassOf VegetationCover, True
MarinePlant SubClassOf VegetationCover, True
MarinePlant SubClassOf Microalgae, True
MarinePlant SubClassOf Microalgae and VegetationCover, True
MarinePlant SubClassOf Fungi, True
MarinePlant SubClassOf Fungi and Microalgae and VegetationCover, True
MarinePlant SubClassOf Arachnid, True
MarinePlant SubClassOf Arachnid and Fungi and Microalgae and VegetationCover, \nFalse
MarinePlant SubClassOf VegetationSpecies, True
MarinePlant SubClassOf Fungi and Microalgae and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Livestock, True
MarinePlant SubClassOf Fungi and Livestock and Microalgae and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Sponge, True
MarinePlant SubClassOf Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Flatworm, True
MarinePlant SubClassOf Flatworm and Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Diatom, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf FungiTaxonomy, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Moss, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Livestock and Microalgae and Moss and Sponge and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Vertebrate, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Livestock and Microalgae and Moss and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Radiolarian, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Livestock and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Human, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf MarineMicrobiota, True
MarinePlant SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMicrobiota and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Animal, True
MarinePlant SubClassOf Animal and Diatom and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMicrobiota and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
MarinePlant SubClassOf Flagellate, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMicrobiota and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Poultry, \nFalse
MarinePlant SubClassOf MarineMammal, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Amphibian, True
MarinePlant SubClassOf Amphibian and Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, Here are
MarinePlant SubClassOf Millipede, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Millipede and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Plankton, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Millipede and Moss and Plankton and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Roundworm, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Millipede and Moss and Plankton and Radiolarian and Roundworm and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
MarinePlant SubClassOf Microphyte, True
MarinePlant SubClassOf Diatom and Flagellate and Flatworm and Fungi and FungiTaxonomy and Human and Livestock and MarineMammal and MarineMicrobiota and Microalgae and Microphyte and Millipede and Moss and Plankton and Radiolarian and Roundworm and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
MarinePlant SubClassOf SlimeMold, True
