Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte, \nTrue
ElectricallyActiveCell and StructuralCell SubClassOf SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf SclerenchymaCell, True
ElectricallyActiveCell SubClassOf LeafCell, True
ElectricallyActiveCell SubClassOf LeafCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte, True
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
ElectricallyActiveCell SubClassOf PhotosyntheticCell, \nTrue
ElectricallyActiveCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CirculatingCell, True
ElectricallyActiveCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf PlantCell, True
ElectricallyActiveCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CellByClass, \nTrue
ElectricallyActiveCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf MatureCell, True
ElectricallyActiveCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell, True
ElectricallyActiveCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Cell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Miocyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf InMatureCell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf Osteocyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf ChondroBlast, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
ElectricallyActiveCell SubClassOf MioBlast, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CellByDevelopmentStage, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf PhotoreceptorCell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf CellByOrganism, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
ElectricallyActiveCell SubClassOf StructuralCell, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf Neuron, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf ChondroCyte, True
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
ElectricallyActiveCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte, \nTrue
CellByDevelopmentStage and InMatureCell SubClassOf SclerenchymaCell, \nTrue
InMatureCell SubClassOf SclerenchymaCell, True
InMatureCell SubClassOf LeafCell, True
InMatureCell SubClassOf LeafCell and SclerenchymaCell, True
InMatureCell SubClassOf Erythrocyte, True
InMatureCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
InMatureCell SubClassOf PhotosyntheticCell, True
