teaches some Researcher SubClassOf Professor, True
teaches some Researcher SubClassOf University, True
Researcher SubClassOf University, True
Researcher SubClassOf Project, \nTrue
Researcher SubClassOf Project and University, \nTrue
Researcher SubClassOf Module, True
Researcher SubClassOf Module and Project and University, \nTrue
Researcher SubClassOf Professor, True
Researcher SubClassOf Module and Professor and Project and University, \nTrue
Researcher SubClassOf Teacher, True
Researcher SubClassOf Module and Professor and Project and Teacher and University, \nTrue
Researcher SubClassOf Person, True
Researcher SubClassOf Module and Person and Professor and Project and Teacher and University, \nTrue
manages some Project SubClassOf Person, True
manages some Project SubClassOf University, True
Project SubClassOf University, True
Project SubClassOf Module, True
Project SubClassOf Module and University, \nTrue
Project SubClassOf Professor, True
Project SubClassOf Module and Professor and University, \nTrue
Project SubClassOf Teacher, True
Project SubClassOf Module and Professor and Teacher and University, \nTrue
Project SubClassOf Person, True
Project SubClassOf Module and Person and Professor and Teacher and University, \nTrue
Project SubClassOf Researcher, \nTrue
Project SubClassOf Module and Person and Professor and Researcher and Teacher and University, \nTrue
teaches some Project SubClassOf University, True
Thing SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), True
(teaches some Module) and (teaches some (Person and Professor and Project and Researcher and Teacher and University)) SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), \nTrue
teaches some (Module and Person and Professor and Project and Researcher and Teacher and University) SubClassOf teaches some (Module and Person and Professor and Project and Researcher and Teacher and University), \nTrue
teaches some (Person and Professor and Project and Researcher and Teacher and University) SubClassOf University, \nTrue
teaches some (Professor and Project and Researcher and Teacher and University) SubClassOf University, \nTrue
teaches some (Project and Researcher and Teacher and University) SubClassOf University, True
teaches some (Researcher and Teacher and University) SubClassOf University, True
teaches some (Teacher and University) SubClassOf University, True
teaches some University SubClassOf University, True
teaches some Thing SubClassOf University, True
Teacher and University SubClassOf Researcher, True
Teacher and University SubClassOf Project, True
University SubClassOf Project, True
University SubClassOf Module, True
University SubClassOf Module and Project, \nTrue
University SubClassOf Professor, True
University SubClassOf Module and Professor and Project, True
University SubClassOf Teacher, True
University SubClassOf Module and Professor and Project and Teacher, \nTrue
University SubClassOf Person, True
University SubClassOf Module and Person and Professor and Project and Teacher, \nTrue
University SubClassOf Researcher, True
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher, \nTrue
Professor and Teacher SubClassOf Researcher, \nTrue
Professor and Teacher SubClassOf University, True
Professor SubClassOf University, True
Professor SubClassOf Project, True
Professor SubClassOf Project and University, True
Professor SubClassOf Module, True
Professor SubClassOf Module and Project and University, \nTrue
Professor SubClassOf Teacher, \nTrue
Professor SubClassOf Module and Project and Teacher and University, \nTrue
Professor SubClassOf Person, True
Professor SubClassOf Module and Person and Project and Teacher and University, \nTrue
Professor SubClassOf Researcher, True
Professor SubClassOf Module and Person and Project and Researcher and Teacher and University, \nTrue
Person and Teacher SubClassOf University, True
Teacher SubClassOf University, True
Teacher SubClassOf Project, True
Teacher SubClassOf Project and University, True
Teacher SubClassOf Module, True
Teacher SubClassOf Module and Project and University, \nTrue
Teacher SubClassOf Professor, True
Teacher SubClassOf Module and Professor and Project and University, \nTrue
Teacher SubClassOf Person, True
Teacher SubClassOf Module and Person and Professor and Project and University, \nTrue
Teacher SubClassOf Researcher, True
Teacher SubClassOf Module and Person and Professor and Project and Researcher and University, \nTrue
Person SubClassOf teaches some Project, True
Person SubClassOf University, True
Person SubClassOf Project, True
Person SubClassOf Project and University, True
Person SubClassOf Module, True
Person SubClassOf Module and Project and University, \nTrue
Person SubClassOf Professor, True
Person SubClassOf Module and Professor and Project and University, \nTrue
Person SubClassOf Teacher, True
Person SubClassOf Module and Professor and Project and Teacher and University, \nTrue
Person SubClassOf Researcher, True
Person SubClassOf Module and Professor and Project and Researcher and Teacher and University, \nTrue
manages some University SubClassOf Person, True
manages some University SubClassOf University, True
University SubClassOf University, True
Thing SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), True
Thing and (manages some Module) and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Thing and (manages some (Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Project and Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Researcher and Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (Teacher and University and Thing)) SubClassOf University, \nTrue
Thing and (manages some (University and Thing)) SubClassOf University, True
Thing and (manages some Thing) SubClassOf University, \nTrue
Researcher SubClassOf teaches some Teacher, True
University SubClassOf teaches some Teacher, True
University and (teaches some Teacher) SubClassOf University and (teaches some Teacher), True
Module SubClassOf Teacher, True
Module SubClassOf University, True
Module SubClassOf Teacher and University, \nTrue
Module SubClassOf Project, True
Module SubClassOf Project and Teacher and University, \nTrue
Module SubClassOf Professor, True
Module SubClassOf Professor and Project and Teacher and University, \nTrue
Module SubClassOf Person, True
Module SubClassOf Person and Professor and Project and Teacher and University, \nTrue
Module SubClassOf Researcher, \nTrue
Module SubClassOf Person and Professor and Project and Researcher and Teacher and University, \nTrue
University SubClassOf teaches some Professor, True
University and (teaches some Professor) SubClassOf University and (teaches some Professor), \nTrue
University SubClassOf Project and University and (teaches some Professor), True
University SubClassOf Module and Project and University and (teaches some Professor), True
University SubClassOf Module and Professor and Project and University and (teaches some Professor), \nTrue
University SubClassOf Module and Professor and Project and Teacher and University and (teaches some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Teacher and University and (teaches some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Professor and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Professor and Project and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Professor and Project and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Person and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Teacher SubClassOf manages some Researcher, True
University SubClassOf manages some Researcher, True
University and (manages some Researcher) SubClassOf University and (manages some Researcher), \nTrue
University SubClassOf Project and University and (manages some Researcher), True
University SubClassOf Module and Project and University and (manages some Researcher), \nTrue
University SubClassOf Module and Professor and Project and University and (manages some Researcher), \nTrue
University SubClassOf Module and Professor and Project and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some Researcher), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Researcher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Project and Researcher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Module and Project and Researcher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Module and Professor and Project and Researcher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Module and Professor and Project and Researcher and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (manages some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)) and (teaches some (Module and Person and Professor and Project and Researcher and Teacher and University and Thing)), \nTrue
Professor SubClassOf employed_by some Professor, True
University SubClassOf employed_by some Professor, True
Thing and (employed_by some Professor) SubClassOf Thing and (employed_by some Professor), \nTrue
University SubClassOf Project and Thing and (employed_by some Professor), True
University SubClassOf Module and Project and Thing and (employed_by some Professor), \nTrue
University SubClassOf Module and Professor and Project and Thing and (employed_by some Professor), \nTrue
University SubClassOf Module and Professor and Project and Teacher and Thing and (employed_by some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Teacher and Thing and (employed_by some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some Professor), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Professor and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Professor and Project and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Module and Professor and Project and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Module and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Module and Person and Professor and Project and Teacher and University)), \nTrue
University SubClassOf Module and Person and Professor and Project and Researcher and Teacher and Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University)) SubClassOf Module and Person and Professor and Project and Researcher and Teacher and University and Thing and (employed_by some (Module and Person and Professor and Project and Researcher and Teacher and University)), \nTrue
