Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, False
Can something that eats some Carnivore be considered a subcategory of 'Fish'?, False
Can something that has_part some Reptile be considered a subcategory of 'Egg'?, False
Can Meat be considered a subcategory of 'Water'?, False
Can something that lives_in some Backbone be considered a subcategory of 'Reptile'?, False
Can Carnivore that is also Vertebrate be considered a subcategory of 'Egg'?, False
Can something that eats some Bird be considered a subcategory of 'Cat'?, False
Can Backbone be considered a subcategory of 'something that has_part some Leg'?, False
Can Backbone that is also Fish be considered a subcategory of 'Carnivore'?, False.
Can Carnivore that is also Herbivore be considered a subcategory of 'Fish'?, False
Can Meat that is also Reptile be considered a subcategory of 'Water'?, False
Can Cat that is also Water be considered a subcategory of 'Leg'?, False
Can Carnivore that is also Leg be considered a subcategory of 'Egg'?, False.
Can Meat be considered a subcategory of 'Egg'?, False
Can Meat that is also Plant be considered a subcategory of 'Backbone'?, False
Can Animal that is also Backbone be considered a subcategory of 'Water'?, False
Can something that eats some Water be considered a subcategory of 'Carnivore'?, False
Can Meat be considered a subcategory of 'Elephant'?, False.
Can Vertebrate that is also Water be considered a subcategory of 'Leg'?, False
Can Carnivore that is also Reptile be considered a subcategory of 'Fish'?, False
Can Bird be considered a subcategory of 'something that lays some Backbone'?, True
Can Bird be considered a subcategory of 'Egg'?, False.
Can Bird be considered a subcategory of 'Meat'?, False.
Can Bird be considered a subcategory of 'Carnivore'?, False
Can Bird be considered a subcategory of 'Water'?, False
Can Bird be considered a subcategory of 'Animal'?, True
Can Bird be considered a subcategory of 'Reptile'?, False
Can Bird be considered a subcategory of 'Plant'?, False
Can Bird be considered a subcategory of 'Vertebrate'?, True.
Can Bird be considered a subcategory of 'Animal that is also Vertebrate'?, True
Can Bird be considered a subcategory of 'Cat'?, False
Can Bird be considered a subcategory of 'Fish'?, False
Can Bird be considered a subcategory of 'Mammal'?, False
Can Bird be considered a subcategory of 'Herbivore'?, False
Can Bird be considered a subcategory of 'Leg'?, False.
Can Bird be considered a subcategory of 'Elephant'?, False
Can Bird be considered a subcategory of 'Backbone'?, False
Can Bird be considered a subcategory of 'Wing'?, False
Can Backbone that is also Fish be considered a subcategory of 'Water'?, False
Can Elephant that is also Water be considered a subcategory of 'Vertebrate'?, False
Can Reptile that is also Wing be considered a subcategory of 'Egg'?, False
Can Backbone that is also Meat be considered a subcategory of 'Elephant'?, False
Can Backbone that is also Water be considered a subcategory of 'Reptile'?, False
Can Fish that is also Leg be considered a subcategory of 'Vertebrate'?, False
Can Egg that is also Mammal be considered a subcategory of 'Backbone'?, False
Can Egg that is also Leg be considered a subcategory of 'Vertebrate'?, False
Can something that has_part some Cat be considered a subcategory of 'Water'?, False
Can Meat that is also Vertebrate be considered a subcategory of 'Carnivore'?, False
Can Backbone that is also Leg be considered a subcategory of 'Egg'?, False
Can Mammal that is also Vertebrate be considered a subcategory of 'Wing'?, False
Can Cat that is also Mammal be considered a subcategory of 'Backbone'?, False
Can Bird that is also Vertebrate be considered a subcategory of 'Leg'?, False.
Can Cat that is also Egg be considered a subcategory of 'Mammal'?, False
Can Animal be considered a subcategory of 'something that lays some Vertebrate'?, False.
Can Animal that is also Elephant be considered a subcategory of 'Water'?, False
Can Reptile that is also Vertebrate be considered a subcategory of 'Carnivore'?, False
Can Leg that is also Water be considered a subcategory of 'Egg'?, False.
Can Animal that is also Mammal be considered a subcategory of 'Wing'?, False
Can Animal that is also Cat be considered a subcategory of 'Backbone'?, False
Can something that lays some Vertebrate be considered a subcategory of 'Leg'?, False.
Can Cat that is also Egg be considered a subcategory of 'Carnivore'?, False.
Can Animal that is also Leg be considered a subcategory of 'Bird'?, False.
Can something that has_part some Reptile be considered a subcategory of 'Elephant'?, False
Can something that lives_in some Leg be considered a subcategory of 'Leg'?, False
Can Mammal that is also Vertebrate be considered a subcategory of 'Egg'?, False
Can Bird that is also Vertebrate be considered a subcategory of 'Wing'?, False.
Can Bird that is also Carnivore be considered a subcategory of 'Backbone'?, True
Can Bird that is also Carnivore be considered a subcategory of 'Egg'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Meat'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Water'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Reptile'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Plant'?, False.
Can Bird that is also Carnivore be considered a subcategory of 'Cat'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Fish'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Mammal'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Herbivore'?, False.
Can Bird that is also Carnivore be considered a subcategory of 'Leg'?, False
Can Bird that is also Carnivore be considered a subcategory of 'Elephant'?, False
Can Carnivore be considered a subcategory of 'Backbone'?, False
Can something that lays some Wing be considered a subcategory of 'Herbivore'?, False.
