Can Parent that is also Person be considered a subcategory of 'Father'?, True.
Can Parent that is also Person be considered a subcategory of 'GrandMother'?, False
Can Parent that is also Person be considered a subcategory of 'Son'?, False
Can Parent that is also Person be considered a subcategory of 'Female'?, False.
Can Person be considered a subcategory of 'Father'?, False
Can Parent be considered a subcategory of 'Father'?, False
Can GrandParent that is also Person be considered a subcategory of 'Woman'?, False
Can GrandFather be considered a subcategory of 'OffSpring'?, False
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?, False
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?, False
Can Son be considered a subcategory of 'something that hasSex some Parent'?, False
Can Parent be considered a subcategory of 'something that hasChild some Male'?, False
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?, False.
Can GrandFather be considered a subcategory of 'Daughter'?, False
Can Father that is also Mother be considered a subcategory of 'Male'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Father'?, False.
Can Male that is also Mother be considered a subcategory of 'Sister'?, False
Can something that hasSex some OffSpring be considered a subcategory of 'GrandMother'?, False
Can Man that is also Woman be considered a subcategory of 'Sister'?, False
Can Male be considered a subcategory of 'something that hasSibling some Mother'?, False
Can something that hasParent some Sister be considered a subcategory of 'Sex'?, False
Can Son be considered a subcategory of 'something that hasParent some Brother'?, False
Can GrandFather that is also OffSpring be considered a subcategory of 'Son'?, False
Can Sibling that is also Son be considered a subcategory of 'Woman'?, False
Can something that hasSibling some Female be considered a subcategory of 'Sex'?, False
Can Father that is also Mother be considered a subcategory of 'Son'?, False
Can GrandFather that is also Woman be considered a subcategory of 'Brother'?, False.
Can Child that is also Person be considered a subcategory of 'Male'?, False
Can Female that is also GrandMother be considered a subcategory of 'OffSpring'?, False.
Can Father that is also Mother be considered a subcategory of 'OffSpring'?, False
Can Parent that is also Sister be considered a subcategory of 'Child'?, False
Can Man be considered a subcategory of 'Son'?, False
Can something that hasSex some Woman be considered a subcategory of 'Male'?, False
Can something that hasChild some Child be considered a subcategory of 'Child'?, False
Can something that hasParent some OffSpring be considered a subcategory of 'Person'?, False
Can something that hasSibling some Son be considered a subcategory of 'Person'?, False
Can Man that is also Son be considered a subcategory of 'Daughter'?, False
Can Male that is also Mother be considered a subcategory of 'Sibling'?, False
Can GrandFather that is also Sibling be considered a subcategory of 'Sex'?, False
Can Father that is also Male be considered a subcategory of 'Mother'?, False
Can Father that is also GrandFather be considered a subcategory of 'Mother'?, False
Can Child that is also Parent be considered a subcategory of 'Woman'?, False
Can Brother that is also Person be considered a subcategory of 'Daughter'?, False
Can Brother that is also Woman be considered a subcategory of 'Female'?, True.
Can Brother that is also Woman be considered a subcategory of 'GrandMother'?, False.
Can Brother that is also Woman be considered a subcategory of 'Son'?, False
Can Woman be considered a subcategory of 'Female'?, False
Can Brother be considered a subcategory of 'Female'?, False
Can Child that is also Woman be considered a subcategory of 'Daughter'?, True.
Can Child that is also Woman be considered a subcategory of 'GrandMother'?, False.
Can Child that is also Woman be considered a subcategory of 'Son'?, False.
Can Child that is also Woman be considered a subcategory of 'Female'?, True
Can Child be considered a subcategory of 'Female'?, False.
Can Female that is also Man be considered a subcategory of 'Mother'?, False
Can Mother that is also Person be considered a subcategory of 'Sex'?, False
Can something that hasChild some GrandParent be considered a subcategory of 'Brother'?, False
Can Sibling that is also Sister be considered a subcategory of 'Brother'?, False.
Can Female that is also Person be considered a subcategory of 'Woman'?, False
Can GrandParent that is also Person be considered a subcategory of 'GrandFather'?, False
Can something that hasSibling some Son be considered a subcategory of 'GrandMother'?, False.
Can GrandParent be considered a subcategory of 'Woman'?, False
Can Male that is also OffSpring be considered a subcategory of 'Father'?, False
Can Child be considered a subcategory of 'something that hasSex some Sister'?, False
Can Female that is also Sibling be considered a subcategory of 'Man'?, False
Can Female that is also Mother be considered a subcategory of 'Father'?, False.
Can Daughter that is also GrandMother be considered a subcategory of 'GrandParent'?, False
Can Man that is also Sex be considered a subcategory of 'GrandParent'?, False
Can Parent be considered a subcategory of 'something that hasChild some Sister'?, False.
Can something that hasChild some Person be considered a subcategory of 'Person'?, False.
Can Sex be considered a subcategory of 'something that hasSibling some Man'?, False
Can OffSpring that is also Sister be considered a subcategory of 'Daughter'?, False.
Can Brother that is also GrandParent be considered a subcategory of 'GrandFather'?, False
Can Daughter be considered a subcategory of 'something that hasParent some GrandFather'?, False.
Can Child that is also Person be considered a subcategory of 'GrandMother'?, False
Can GrandFather be considered a subcategory of 'something that hasSibling some Woman'?, False.
Can Person that is also Sister be considered a subcategory of 'Parent'?, False.
Can Daughter that is also GrandFather be considered a subcategory of 'Male'?, False
Can Daughter that is also GrandMother be considered a subcategory of 'Man'?, False.
Can GrandFather that is also Man be considered a subcategory of 'Daughter'?, False.
Can Male that is also Sister be considered a subcategory of 'Child'?, False
Can OffSpring that is also Sibling be considered a subcategory of 'Man'?, False
Can Man be considered a subcategory of 'something that hasSibling some Sister'?, False
Can GrandParent that is also Sister be considered a subcategory of 'GrandMother'?, False.
Can something that hasChild some Brother be considered a subcategory of 'Father'?, False
Can GrandMother that is also Woman be considered a subcategory of 'Sister'?, False.
Can OffSpring be considered a subcategory of 'GrandFather'?, False
Can Son be considered a subcategory of 'GrandFather'?, False
Can Daughter that is also Man be considered a subcategory of 'GrandMother'?, False.
Can GrandFather that is also GrandParent be considered a subcategory of 'Daughter'?, False
Can GrandMother that is also OffSpring be considered a subcategory of 'Son'?, False
Can Child that is also Daughter be considered a subcategory of 'Woman'?, True
Can Child that is also Daughter be considered a subcategory of 'GrandMother'?, False
Can Child that is also Daughter be considered a subcategory of 'Son'?, False.
Can Child that is also Daughter be considered a subcategory of 'Female'?, True
Can Daughter be considered a subcategory of 'Female'?, True
Can Daughter be considered a subcategory of 'GrandMother'?, False
Can Daughter be considered a subcategory of 'Thing'?, True.
Can Daughter be considered a subcategory of 'Female that is also Thing'?, True
Can Daughter be considered a subcategory of 'Son'?, False
Can Daughter be considered a subcategory of 'Father'?, False
Can Daughter be considered a subcategory of 'Child'?, True.
Can Daughter be considered a subcategory of 'Child that is also Female that is also Thing'?, True.
Can Daughter be considered a subcategory of 'Person'?, True.
Can Daughter be considered a subcategory of 'Child that is also Female that is also Person that is also Thing'?, True
Can Daughter be considered a subcategory of 'Brother'?, False
Can Daughter be considered a subcategory of 'Parent'?, False.
Can Daughter be considered a subcategory of 'Man'?, False
Can Daughter be considered a subcategory of 'Mother'?, False
Can Daughter be considered a subcategory of 'GrandParent'?, False
Can Daughter be considered a subcategory of 'Sex'?, False
Can Daughter be considered a subcategory of 'Sister'?, False
Can Daughter be considered a subcategory of 'OffSpring'?, True.
Can Daughter be considered a subcategory of 'Child that is also Female that is also OffSpring that is also Person that is also Thing'?, True
Can Daughter be considered a subcategory of 'Woman'?, True.
Can Daughter be considered a subcategory of 'Child that is also Female that is also OffSpring that is also Person that is also Woman that is also Thing'?, True
Can Daughter be considered a subcategory of 'Male'?, False
Can Daughter be considered a subcategory of 'Sibling'?, False.
Can Daughter be considered a subcategory of 'GrandFather'?, False
Can Daughter be considered a subcategory of 'something that hasSex some Child'?, True
Can GrandMother be considered a subcategory of 'something that hasSex some Child'?, False
Can Thing be considered a subcategory of 'something that hasSex some Child'?, False
Can Son be considered a subcategory of 'something that hasSex some Child'?, False
Can Female be considered a subcategory of 'something that hasSex some Child'?, False
Can Father be considered a subcategory of 'something that hasSex some Child'?, False.
Can Child be considered a subcategory of 'something that hasSex some Child'?, False.
Can Person be considered a subcategory of 'something that hasSex some Child'?, False
Can Brother be considered a subcategory of 'something that hasSex some Child'?, False
Can Parent be considered a subcategory of 'something that hasSex some Child'?, False
Can Thing that is also something that (hasSex some Child) be considered a subcategory of 'Thing that is also something that (hasSex some Child)'?, True
Can GrandMother be considered a subcategory of 'Child'?, False
Can Thing be considered a subcategory of 'Child'?, False
Can Son be considered a subcategory of 'Child'?, False
Can Female be considered a subcategory of 'Child'?, False
Can Father be considered a subcategory of 'Child'?, False
Can Person be considered a subcategory of 'Child'?, False
Can Brother be considered a subcategory of 'Child'?, False
Can Parent be considered a subcategory of 'Child'?, False.
Can Man be considered a subcategory of 'Child'?, False
Can Mother be considered a subcategory of 'Child'?, False
Can GrandParent be considered a subcategory of 'Child'?, False
Can Sex be considered a subcategory of 'Child'?, False
Can Sister be considered a subcategory of 'Child'?, False
Can OffSpring be considered a subcategory of 'Child'?, False \n\n
Can Woman be considered a subcategory of 'Child'?, False
Can Male be considered a subcategory of 'Child'?, False
Can Sibling be considered a subcategory of 'Child'?, False.
Can GrandFather be considered a subcategory of 'Child'?, False
Can Daughter be considered a subcategory of 'Female that is also Thing that is also something that (hasSex some Child)'?, False
Can Daughter be considered a subcategory of 'Child that is also Thing that is also something that (hasSex some Child)'?, True
Can Daughter be considered a subcategory of 'Child that is also Person that is also Thing that is also something that (hasSex some Child)'?, True.
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Thing that is also something that (hasSex some Child)'?, True
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some Child)'?, True
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Thing))'?, False
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female))'?, True
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also Person))'?, True
Can Daughter be considered a subcategory of 'Daughter'?, False
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also OffSpring that is also Person))'?, False.
Can Daughter be considered a subcategory of 'Child that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also Person that is also Woman))'?, False
Can Child that is also Female that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also Person)) be considered a subcategory of 'Child that is also Female that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also Person))'?, False.
Can Thing be considered a subcategory of 'Daughter'?, False
Can Thing be considered a subcategory of 'Child that is also Female that is also OffSpring that is also Person that is also Woman that is also Thing that is also something that (hasSex some (Child that is also Female that is also Person))'?, True
Can Thing be considered a subcategory of 'GrandMother'?, False
Can Thing be considered a subcategory of 'Thing'?, True
Can Thing be considered a subcategory of 'Son'?, False
Can Thing be considered a subcategory of 'Female'?, False.
Can Thing be considered a subcategory of 'Father'?, False
Can Thing be considered a subcategory of 'Person'?, False
Can Thing be considered a subcategory of 'Brother'?, False
Can Thing be considered a subcategory of 'Parent'?, False
Can Thing be considered a subcategory of 'Man'?, False.
Can Thing be considered a subcategory of 'Mother'?, False
Can Thing be considered a subcategory of 'GrandParent'?, False
Can Thing be considered a subcategory of 'Sex'?, False
Can Thing be considered a subcategory of 'Sister'?, False
Can Thing be considered a subcategory of 'OffSpring'?, False
Can Thing be considered a subcategory of 'Woman'?, False
Can Thing be considered a subcategory of 'Male'?, False
Can Thing be considered a subcategory of 'Sibling'?, False
Can Thing be considered a subcategory of 'GrandFather'?, False
Can GrandMother be considered a subcategory of 'Child that is also Female that is also Person'?, False
Can Thing be considered a subcategory of 'Child that is also Female that is also Person'?, False
Can Son be considered a subcategory of 'Child that is also Female that is also Person'?, False
Can Female be considered a subcategory of 'Child that is also Female that is also Person'?, False.
Can Father be considered a subcategory of 'Child that is also Female that is also Person'?, False
Can Child be considered a subcategory of 'Child that is also Female that is also Person'?, True
Can Child be considered a subcategory of 'GrandMother'?, False
Can Child be considered a subcategory of 'Thing'?, True
Can Child be considered a subcategory of 'Child that is also Female that is also Person that is also Thing'?, True
Can Child be considered a subcategory of 'Son'?, False
Can Child be considered a subcategory of 'Father'?, False
Can Child be considered a subcategory of 'Brother'?, False
Can Child be considered a subcategory of 'Parent'?, False
Can Child be considered a subcategory of 'Daughter'?, False
