Can Neuron that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, False.
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, False.
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'Osteocyte'?, False.
Can Miocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?, False.
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'AnimalCell'?, False.
Can CellByDevelopmentStage that is also ChondroBlast be considered a subcategory of 'Osteocyte'?, False.
Can Cell that is also MatureCell be considered a subcategory of 'Osteocyte'?, False.
Can CellByClass that is also InMatureCell be considered a subcategory of 'AnimalCell'?, False.
Can ChondroCyte that is also LeafCell be considered a subcategory of 'Neuron'?, False.
Can CirculatingCell that is also LeafCell be considered a subcategory of 'Neuron'?, False
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'AnimalCell'?, False.
Can Osteocyte that is also SclerenchymaCell be considered a subcategory of 'AnimalCell'?, False.
Can InMatureCell that is also Miocyte be considered a subcategory of 'PhotosyntheticCell'?, False
Can Cell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, False.
Can InMatureCell that is also StructuralCell be considered a subcategory of 'ChondroCyte'?, False.
Can AnimalCell that is also InMatureCell be considered a subcategory of 'ChondroCyte'?, False
Can CellByClass that is also ChondroBlast be considered a subcategory of 'ElectricallyActiveCell'?, False.
Can CellByDevelopmentStage that is also Miocyte be considered a subcategory of 'SclerenchymaCell'?, False.
Can InMatureCell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, False.
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'ElectricallyActiveCell'?, False.
Can CirculatingCell that is also SclerenchymaCell be considered a subcategory of 'LeafCell'?, False.
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, False.
Can CellByDevelopmentStage that is also Osteocyte be considered a subcategory of 'PhotoreceptorCell'?, False.
Can ChondroCyte be considered a subcategory of 'PhotoreceptorCell'?, False.
Can Neuron that is also PlantCell be considered a subcategory of 'LeafCell'?, False.
Can LeafCell that is also SclerenchymaCell be considered a subcategory of 'PhotoreceptorCell'?, False
Can CellByClass that is also Osteocyte be considered a subcategory of 'LeafCell'?, False
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'StructuralCell'?, False.
Can MatureCell that is also MioBlast be considered a subcategory of 'CirculatingCell'?, False.
Can ElectricallyActiveCell that is also PlantCell be considered a subcategory of 'Cell'?, False
Can ChondroBlast that is also Neuron be considered a subcategory of 'StructuralCell'?, False.
Can ChondroBlast that is also SclerenchymaCell be considered a subcategory of 'StructuralCell'?, False.
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'CirculatingCell'?, False.
Can AnimalCell be considered a subcategory of 'Cell'?, False
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'Cell'?, False.
Can CellByDevelopmentStage that is also PhotoreceptorCell be considered a subcategory of 'MatureCell'?, False.
Can InMatureCell that is also PlantCell be considered a subcategory of 'CellByClass'?, False.
Can CellByOrganism that is also PhotoreceptorCell be considered a subcategory of 'ChondroBlast'?, False.
Can AnimalCell that is also ElectricallyActiveCell be considered a subcategory of 'MatureCell'?, False.
Can Cell that is also PhotosyntheticCell be considered a subcategory of 'MatureCell'?, False.
Can StructuralCell be considered a subcategory of 'PlantCell'?, True.
Can StructuralCell be considered a subcategory of 'SclerenchymaCell'?, False.
Can StructuralCell be considered a subcategory of 'LeafCell'?, False.
Can StructuralCell be considered a subcategory of 'Erythrocyte'?, False
Can StructuralCell be considered a subcategory of 'PhotosyntheticCell'?, False.
Can StructuralCell be considered a subcategory of 'CirculatingCell'?, False.
Can StructuralCell be considered a subcategory of 'CellByClass'?, False.
Can StructuralCell be considered a subcategory of 'MatureCell'?, False.
Can StructuralCell be considered a subcategory of 'AnimalCell'?, False
Can StructuralCell be considered a subcategory of 'Cell'?, True
Can StructuralCell be considered a subcategory of 'Cell that is also PlantCell'?, False.
