Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, **False
Can something that eats some Carnivore be considered a subcategory of 'Fish'?, False
Can something that has_part some Reptile be considered a subcategory of 'Egg'?, FALSE
Can Meat be considered a subcategory of 'Water'?, **False
Can something that lives_in some Backbone be considered a subcategory of 'Reptile'?, True
Can something that lives_in some Backbone be considered a subcategory of 'Egg'?, False
Can something that lives_in some Backbone be considered a subcategory of 'Meat'?, False
Can something that lives_in some Backbone be considered a subcategory of 'Carnivore'?, False
Can something that lives_in some Backbone be considered a subcategory of 'Water'?, FALSE
Can something that lives_in some Backbone be considered a subcategory of 'Animal'?, FALSE
Can Backbone be considered a subcategory of 'Reptile'?, FALSE
Can Thing be considered a subcategory of 'something that lives_in some Backbone'?, FALSE
Can Thing be considered a subcategory of 'Egg'?, FALSE
Can Thing be considered a subcategory of 'Meat'?, **False
Can Thing be considered a subcategory of 'Carnivore'?, FALSE
Can Thing be considered a subcategory of 'Water'?, False
Can Thing be considered a subcategory of 'Animal'?, **FALSE
Can Thing be considered a subcategory of 'Reptile'?, **False
Can Thing be considered a subcategory of 'Plant'?, **FALSE
Can Thing be considered a subcategory of 'Vertebrate'?, **FALSE
Can Thing be considered a subcategory of 'Cat'?, False
Can Thing be considered a subcategory of 'Fish'?, False
Can Thing be considered a subcategory of 'Mammal'?, **False
Can Thing be considered a subcategory of 'Herbivore'?, FALSE
Can Thing be considered a subcategory of 'Leg'?, **FALSE
Can Thing be considered a subcategory of 'Elephant'?, FALSE
Can Thing be considered a subcategory of 'Bird'?, FALSE
Can Thing be considered a subcategory of 'Backbone'?, False
Can Thing be considered a subcategory of 'Wing'?, FALSE
Can Backbone be considered a subcategory of 'Egg'?, False
Can Backbone be considered a subcategory of 'Meat'?, **False
Can Backbone be considered a subcategory of 'Carnivore'?, **False
Can Backbone be considered a subcategory of 'Water'?, **FALSE
Can Backbone be considered a subcategory of 'Animal'?, False
Can Backbone be considered a subcategory of 'Plant'?, FALSE
Can Backbone be considered a subcategory of 'Vertebrate'?, False
Can Backbone be considered a subcategory of 'Cat'?, False
Can Backbone be considered a subcategory of 'Fish'?, **False
Can Backbone be considered a subcategory of 'Mammal'?, **False
Can Backbone be considered a subcategory of 'Herbivore'?, False
Can Backbone be considered a subcategory of 'Leg'?, **False
Can Backbone be considered a subcategory of 'Elephant'?, FALSE
Can Backbone be considered a subcategory of 'Bird'?, FALSE
Can Backbone be considered a subcategory of 'Wing'?, False
Can something that lives_in some Thing be considered a subcategory of 'Reptile'?, FALSE
Can Carnivore that is also Vertebrate be considered a subcategory of 'Egg'?, FALSE
Can something that eats some Bird be considered a subcategory of 'Cat'?, False
Can Backbone be considered a subcategory of 'something that has_part some Leg'?, **False
Can Backbone that is also Fish be considered a subcategory of 'Carnivore'?, False
Can Carnivore that is also Herbivore be considered a subcategory of 'Fish'?, **False
Can Meat that is also Reptile be considered a subcategory of 'Water'?, **False
Can Cat that is also Water be considered a subcategory of 'Leg'?, **False
Can Carnivore that is also Leg be considered a subcategory of 'Egg'?, **False
Can Meat be considered a subcategory of 'Egg'?, FALSE
Can Meat that is also Plant be considered a subcategory of 'Backbone'?, **False
Can Animal that is also Backbone be considered a subcategory of 'Water'?, FALSE
Can something that eats some Water be considered a subcategory of 'Carnivore'?, **False
Can Meat be considered a subcategory of 'Elephant'?, **FALSE
Can Vertebrate that is also Water be considered a subcategory of 'Leg'?, False
Can Carnivore that is also Reptile be considered a subcategory of 'Fish'?, FALSE
Can Bird be considered a subcategory of 'something that lays some Backbone'?, TRUE
Can Bird be considered a subcategory of 'Egg'?, **False
Can Bird be considered a subcategory of 'Meat'?, **FALSE
Can Bird be considered a subcategory of 'Carnivore'?, **FALSE
Can Bird be considered a subcategory of 'Water'?, False
Can Bird be considered a subcategory of 'Animal'?, TRUE
Can Bird be considered a subcategory of 'Reptile'?, **FALSE
Can Bird be considered a subcategory of 'Plant'?, FALSE
Can Bird be considered a subcategory of 'Vertebrate'?, False
Can Bird be considered a subcategory of 'Cat'?, FALSE
Can Bird be considered a subcategory of 'Fish'?, **False
