Can Crop that is also MarinePlant be considered a subcategory of 'Arthropod'?, **False
Can Canopy that is also MarineMicrobiota be considered a subcategory of 'Macroalgae'?, False.
Can MarineInvertebrate that is also Poultry be considered a subcategory of 'Human'?, FALSE
Can Diatom that is also Human be considered a subcategory of 'Invertebrate'?, FALSE
Can Amphibian that is also Coral be considered a subcategory of 'VegetationCover'?, FALSE
Can Algae that is also Mammal be considered a subcategory of 'Reptile'?, FALSE
Can Coccolithophore that is also Sponge be considered a subcategory of 'Roundworm'?, **False
Can FloweringPlant that is also MarineBird be considered a subcategory of 'Canopy'?, False
Can MarineMammal that is also Roundworm be considered a subcategory of 'MarineBird'?, **FALSE
Can Amoebae that is also Leaf be considered a subcategory of 'Flatworm'?, FALSE
Can IndigenousVegetation that is also Invertebrate be considered a subcategory of 'SlimeMold'?, False
Can Foraminifer that is also Vegetation be considered a subcategory of 'Millipede'?, **FALSE
Can Fungi that is also MarineMicrobiota be considered a subcategory of 'Zooplankton'?, **False
Can DeciduousVegetation that is also Microbiota be considered a subcategory of 'Mammal'?, FALSE
Can Moss that is also Reptile be considered a subcategory of 'IndigenousSpecies'?, **False
Can Macroalgae that is also Microphyte be considered a subcategory of 'Radiolarian'?, **False
Can Chlorophyll that is also Coccolithophore be considered a subcategory of 'Bacteria'?, False
Can FloweringPlant that is also Microphyte be considered a subcategory of 'Poultry'?, FALSE
Can Crop that is also Dairy be considered a subcategory of 'Yeast'?, **False
Can MarineMicrobiota that is also Mold be considered a subcategory of 'Algae'?, **False
Can Invertebrate that is also Jellyfish be considered a subcategory of 'EvergreenVegetation'?, **False
Can Roundworm that is also Vegetation be considered a subcategory of 'Leaf'?, FALSE
Can Ciliate that is also MarineMammal be considered a subcategory of 'Vegetation'?, False.
Can Algae that is also Mushroom be considered a subcategory of 'Centipede'?, False
Can Echinoderm that is also Reptile be considered a subcategory of 'Microphyte'?, **FALSE
Can Anemone that is also Microphyte be considered a subcategory of 'Pollen'?, False
Can Animal that is also Plant be considered a subcategory of 'MarineAnimal'?, False
Can FloweringPlant that is also Leaf be considered a subcategory of 'Livestock'?, False
Can Pollen that is also Radiolarian be considered a subcategory of 'Coral'?, **False
Can Crown that is also MarineInvertebrate be considered a subcategory of 'Mushroom'?, **False
Can Fern that is also Fungi be considered a subcategory of 'ExoticSpecies'?, FALSE
Can Nutrient that is also Protist be considered a subcategory of 'Sponge'?, **False
Can Sporozoan be considered a subcategory of 'Bird'?, **False
Can Coccolithophore that is also Lichen be considered a subcategory of 'Vertebrate'?, FALSE
Can Crown that is also Plankton be considered a subcategory of 'Plant'?, False.
Can Insect that is also SlimeMold be considered a subcategory of 'Echinoderm'?, **FALSE
Can Lichen that is also VegetationCover be considered a subcategory of 'Amphibian'?, False
Can Diatom that is also Litter be considered a subcategory of 'Flagellate'?, False
Can Macroalgae that is also VegetationSpecies be considered a subcategory of 'Yeast'?, **FALSE
Can Amoebae that is also Leaf be considered a subcategory of 'Centipede'?, FALSE
Can Chlorophyll that is also IndigenousSpecies be considered a subcategory of 'Fern'?, FALSE
Can Livestock that is also Radiolarian be considered a subcategory of 'Poultry'?, FALSE
Can Dairy that is also Millipede be considered a subcategory of 'EvergreenVegetation'?, False
Can Invertebrate that is also Phytoplankton be considered a subcategory of 'Coccolithophore'?, **FALSE
Can Chlorophyll that is also Jellyfish be considered a subcategory of 'ExoticSpecies'?, **False
Can ExoticSpecies that is also Mushroom be considered a subcategory of 'IndigenousVegetation'?, False
Can Ciliate that is also Mammal be considered a subcategory of 'MarineAnimal'?, FALSE
Can Poultry be considered a subcategory of 'Chlorophyll'?, **FALSE
Can Liverwort that is also Macroalgae be considered a subcategory of 'Insect'?, **False
Can Bird that is also Radiolarian be considered a subcategory of 'Litter'?, False
Can Human that is also Protist be considered a subcategory of 'Mollusk'?, **FALSE
Can Livestock that is also Microalgae be considered a subcategory of 'TreeRing'?, **False
Can Crustacean that is also Millipede be considered a subcategory of 'Ciliate'?, **FALSE
Can Insect that is also MarineAnimal be considered a subcategory of 'Foraminifer'?, **False
Can Arachnid that is also Mushroom be considered a subcategory of 'Crustacean'?, False
Can Flagellate that is also Mammal be considered a subcategory of 'ExoticVegetation'?, **False
Can Amoebae that is also Animal be considered a subcategory of 'MarineInvertebrate'?, **False
Can Phytoplankton that is also SegmentedWorm be considered a subcategory of 'Amoebae'?, **False
Can Canopy that is also EvergreenVegetation be considered a subcategory of 'MarineMicrobiota'?, FALSE
Can Macrophyte that is also Mollusk be considered a subcategory of 'Phytoplankton'?, FALSE
Can Algae that is also Phytoplankton be considered a subcategory of 'Jellyfish'?, **False
Can IndigenousSpecies that is also Mold be considered a subcategory of 'DominantSpecies'?, **FALSE
Can Canopy that is also Livestock be considered a subcategory of 'Radiolarian'?, False
Can Macrophyte that is also MarineMammal be considered a subcategory of 'Anemone'?, **False
Can Phytoplankton that is also Vegetation be considered a subcategory of 'Protist'?, **FALSE
Can Chlorophyll that is also IndigenousVegetation be considered a subcategory of 'Zooplankton'?, False
Can Flatworm that is also Macroalgae be considered a subcategory of 'Insect'?, False
Can ExoticVegetation that is also MarineMicrobiota be considered a subcategory of 'Chlorophyll'?, FALSE
Can Coral that is also Yeast be considered a subcategory of 'Vegetation'?, FALSE
Can MarineInvertebrate that is also Moss be considered a subcategory of 'Liverwort'?, **False
