Neuron and StructuralCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte,  False.
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte,  I.
Miocyte and StructuralCell SubClassOf LeafCell,  False.
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte,  False.
Cell and MatureCell SubClassOf Osteocyte,  True.
Cell and MatureCell SubClassOf SclerenchymaCell,  False.
Cell and MatureCell SubClassOf LeafCell,  False.
Cell and MatureCell SubClassOf Erythrocyte,  True.
Cell SubClassOf Erythrocyte,  False.
MatureCell SubClassOf Erythrocyte,  False.
CellByClass and InMatureCell SubClassOf AnimalCell,  I.
ChondroCyte and LeafCell SubClassOf Neuron,  False.
CirculatingCell and LeafCell SubClassOf Neuron,  False.
CellByOrganism and ChondroCyte SubClassOf AnimalCell,  True.
CellByOrganism and ChondroCyte SubClassOf SclerenchymaCell,  False.
CellByOrganism and ChondroCyte SubClassOf LeafCell,  False.
CellByOrganism and ChondroCyte SubClassOf Erythrocyte,  False.
CellByOrganism and ChondroCyte SubClassOf PhotosyntheticCell,  False.
CellByOrganism and ChondroCyte SubClassOf CirculatingCell,  False.
CellByOrganism and ChondroCyte SubClassOf PlantCell,  False.
CellByOrganism and ChondroCyte SubClassOf CellByClass,  False.
CellByOrganism and ChondroCyte SubClassOf MatureCell,  I.
CellByOrganism SubClassOf AnimalCell,  True.
CellByOrganism SubClassOf SclerenchymaCell,  False.
CellByOrganism SubClassOf LeafCell,  False.
CellByOrganism SubClassOf Erythrocyte,  False.
CellByOrganism SubClassOf PhotosyntheticCell,  False.
CellByOrganism SubClassOf CirculatingCell,  False.
CellByOrganism SubClassOf PlantCell,  False.
CellByOrganism SubClassOf CellByClass,  False.
CellByOrganism SubClassOf MatureCell,  I.
CellByOrganism SubClassOf Cell,  False.
CellByOrganism SubClassOf Miocyte,  False.
CellByOrganism SubClassOf InMatureCell,  False.
CellByOrganism SubClassOf Osteocyte,  False.
CellByOrganism SubClassOf ChondroBlast,  False.
CellByOrganism SubClassOf MioBlast,  I.
CellByOrganism SubClassOf CellByDevelopmentStage,  False.
CellByOrganism SubClassOf PhotoreceptorCell,  False.
CellByOrganism SubClassOf ElectricallyActiveCell,  I.
CellByOrganism SubClassOf StructuralCell,  False.
CellByOrganism SubClassOf Neuron,  False.
CellByOrganism SubClassOf ChondroCyte,  False.
Osteocyte and SclerenchymaCell SubClassOf AnimalCell,  False.
InMatureCell and Miocyte SubClassOf PhotosyntheticCell,  False.
Cell and StructuralCell SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf ChondroCyte,  False.
AnimalCell and InMatureCell SubClassOf ChondroCyte,  False.
