BallGame and FootballTeam SubClassOf Player,  False.
plays_for some BallGame SubClassOf Team,  False.
BallGame and FootballTeam SubClassOf Person,  False.
FootballPlayer and Person SubClassOf Game,  False.
BallGame and FootballPlayer SubClassOf Football,  False.
managed_by some BallGame SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf FootballPlayer,  False.
BallGame and Manager SubClassOf Game,  False.
FootballTeam and Player SubClassOf FootballPlayer,  False.
Game SubClassOf plays some BallGame,  False.
Game and Person SubClassOf Football,  False.
Game and Person SubClassOf BallGame,  False.
plays some Team SubClassOf FootballPlayer,  False.
FootballPlayer and Manager SubClassOf Person,  True.
FootballPlayer and Manager SubClassOf Team,  False.
FootballPlayer and Manager SubClassOf Player,  False.
FootballPlayer and Manager SubClassOf FootballTeam,  False.
FootballPlayer and Manager SubClassOf Game,  False.
FootballPlayer and Manager SubClassOf Football,  False.
Manager SubClassOf Person,  False.
FootballPlayer SubClassOf Person,  True.
FootballPlayer SubClassOf Thing,  FootballPlayer
FootballPlayer SubClassOf Manager,  False.
FootballPlayer SubClassOf Team,  False.
FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Person and Player,  True.
FootballPlayer SubClassOf FootballTeam,  False.
FootballPlayer SubClassOf Game,  False.
FootballPlayer SubClassOf Football,  False.
FootballPlayer SubClassOf BallGame,  False.
Football and Player SubClassOf Person,  False.
FootballTeam and Team SubClassOf Football,  False.
Person SubClassOf FootballPlayer,  False.
plays_for some Manager SubClassOf Football,  False.
FootballPlayer and FootballTeam SubClassOf BallGame,  False.
plays some FootballTeam SubClassOf BallGame,  False.
Person and Team SubClassOf Football,  False.
BallGame and Team SubClassOf FootballTeam,  False.
Manager and Person SubClassOf Player,  False.
plays some Person SubClassOf Manager,  False.
plays_for some BallGame SubClassOf Game,  True.
plays_for some BallGame SubClassOf Manager,  False.
plays_for some BallGame SubClassOf Player,  False.
plays_for some BallGame SubClassOf FootballTeam,  False.
BallGame SubClassOf Game,  True.
BallGame SubClassOf Thing,  False.
BallGame SubClassOf Manager,  False.
BallGame SubClassOf Team,  False.
BallGame SubClassOf Player,  False.
BallGame SubClassOf FootballTeam,  False.
BallGame SubClassOf FootballPlayer,  False.
BallGame SubClassOf Football,  True.
BallGame SubClassOf Football and Game,  False.
BallGame SubClassOf Person,  False.
BallGame and Team SubClassOf Player,  False.
FootballPlayer and FootballTeam SubClassOf Manager,  False.
Football and FootballTeam SubClassOf Team,  False.
Football and Manager SubClassOf Game,  False.
plays some Team SubClassOf Manager,  False.
Football and Team SubClassOf FootballTeam,  False.
Football and FootballPlayer SubClassOf FootballTeam,  False.
FootballTeam SubClassOf managed_by some Team,  False.
FootballTeam and Team SubClassOf Person,  False.
plays_for some Football SubClassOf Football,  False.
Football and Manager SubClassOf Team,  False.
FootballPlayer SubClassOf managed_by some Player,  False.
Person SubClassOf Team,  False.
Football and Game SubClassOf Manager,  False.
FootballTeam and Player SubClassOf Manager,  False.
managed_by some Person SubClassOf FootballTeam,  False.
managed_by some Team SubClassOf Player,  False.
Football SubClassOf managed_by some FootballTeam,  False.
Player and Team SubClassOf Person,  False.
plays some Football SubClassOf FootballPlayer,  True.
plays some Football SubClassOf Manager,  False.
plays some Football SubClassOf Team,  True.
Football SubClassOf Team,  False.
Thing SubClassOf plays some Football,  False.
Thing SubClassOf Manager,  False.
Thing SubClassOf Team,  False.
Thing SubClassOf Player,  False.
Thing SubClassOf FootballTeam,  False.
Thing SubClassOf Game,  False.
Thing SubClassOf FootballPlayer,  False.
Thing SubClassOf Football,  False.
Thing SubClassOf Person,  False.
Thing SubClassOf BallGame,  False.
Football SubClassOf Manager,  False.
Football SubClassOf Player,  False.
Football SubClassOf FootballTeam,  False.
Football SubClassOf Game,  True.
Game SubClassOf managed_by some FootballPlayer,  False.
Football SubClassOf managed_by some Player,  False.
FootballTeam and Game SubClassOf Football,  FootballTeam
Manager SubClassOf managed_by some Football,  False.
managed_by some Team SubClassOf FootballTeam,  False.
BallGame and Football SubClassOf Team,  False.
Player SubClassOf managed_by some FootballPlayer,  False.
Player SubClassOf plays some Football,  False.
Person SubClassOf plays some BallGame,  False.
Football SubClassOf plays some Person,  False.
plays some Player SubClassOf Person,  True.
plays some Player SubClassOf Manager,  False.
