Parent and Person SubClassOf Father,  False.
GrandParent and Person SubClassOf Woman,  False.
GrandFather SubClassOf OffSpring,  False.
hasParent some GrandMother SubClassOf Male,  False.
GrandMother and GrandParent SubClassOf OffSpring,  False.
Son SubClassOf hasSex some Parent,  False.
Parent SubClassOf hasChild some Male,  False.
Female and GrandMother SubClassOf Daughter,  False.
GrandFather SubClassOf Daughter,  False.
Father and Mother SubClassOf Male,  False.
Daughter and OffSpring SubClassOf Father,  False.
Male and Mother SubClassOf Sister,  False.
hasSex some OffSpring SubClassOf GrandMother,  False.
Man and Woman SubClassOf Sister,  False.
Male SubClassOf hasSibling some Mother,  False.
hasParent some Sister SubClassOf Sex,  False.
Son SubClassOf hasParent some Brother,  False.
GrandFather and OffSpring SubClassOf Son,  False.
Sibling and Son SubClassOf Woman,  False.
hasSibling some Female SubClassOf Sex,  False.
Father and Mother SubClassOf Son,  False.
GrandFather and Woman SubClassOf Brother,  False.
Child and Person SubClassOf Male,  False.
Female and GrandMother SubClassOf OffSpring,  False.
Father and Mother SubClassOf OffSpring,  False.
Parent and Sister SubClassOf Child,  False.
Man SubClassOf Son,  False.
hasSex some Woman SubClassOf Male,  False.
hasChild some Child SubClassOf Child,  False.
hasParent some OffSpring SubClassOf Person,  False.
hasSibling some Son SubClassOf Person,  False.
Man and Son SubClassOf Daughter,  False.
Male and Mother SubClassOf Sibling,  False.
GrandFather and Sibling SubClassOf Sex,  False.
Father and Male SubClassOf Mother,  False.
Father and GrandFather SubClassOf Mother,  False.
Child and Parent SubClassOf Woman,  False.
Brother and Person SubClassOf Daughter,  False.
Brother and Woman SubClassOf Female,  False.
Child and Woman SubClassOf Daughter,  False.
Female and Man SubClassOf Mother,  False.
Mother and Person SubClassOf Sex,  False.
hasChild some GrandParent SubClassOf Brother,  False.
Sibling and Sister SubClassOf Brother,  False.
Female and Person SubClassOf Woman,  False.
GrandParent and Person SubClassOf GrandFather,  False.
hasSibling some Son SubClassOf GrandMother,  False.
GrandParent SubClassOf Woman,  False.
Male and OffSpring SubClassOf Father,  False.
Child SubClassOf hasSex some Sister,  False.
Female and Sibling SubClassOf Man,  False.
Female and Mother SubClassOf Father,  False.
Daughter and GrandMother SubClassOf GrandParent,  False.
Man and Sex SubClassOf GrandParent,  False.
Parent SubClassOf hasChild some Sister,  False.
