teaches some Researcher SubClassOf Professor,  False.
manages some Project SubClassOf Person,  False.
Project SubClassOf Professor,  False.
teaches some Project SubClassOf University,  False.
Teacher and University SubClassOf Researcher,  False.
Teacher and University SubClassOf Person,  False.
Person and Project SubClassOf Researcher,  False.
Professor and Teacher SubClassOf Researcher,  False.
teaches some Researcher SubClassOf Person,  False.
Module and Project SubClassOf Researcher,  False.
Person and Teacher SubClassOf University,  False.
Person SubClassOf teaches some Project,  False.
Researcher and University SubClassOf Teacher,  False.
Professor and Teacher SubClassOf Module,  False.
manages some University SubClassOf Person,  False.
Person SubClassOf Module,  False.
Person and Researcher SubClassOf Teacher,  False.
Researcher SubClassOf teaches some Teacher,  False.
University SubClassOf teaches some Professor,  False.
manages some Module SubClassOf Teacher,  False.
teaches some University SubClassOf Project,  I.
Professor and University SubClassOf Module,  False.
Teacher SubClassOf manages some Researcher,  False.
Project and Teacher SubClassOf University,  False.
teaches some Module SubClassOf Researcher,  False.
Professor SubClassOf employed_by some Professor,  False.
employed_by some Professor SubClassOf Project,  False.
Professor and Project SubClassOf Teacher,  False.
employed_by some Researcher SubClassOf Module,  False.
Professor and Researcher SubClassOf Person,  True.
Professor and Researcher SubClassOf University,  False.
Professor and Researcher SubClassOf Project,  False.
Professor and Researcher SubClassOf Module,  False.
Professor and Researcher SubClassOf Teacher,  False.
Professor SubClassOf Person,  False.
Researcher SubClassOf Person,  False.
Person SubClassOf teaches some Researcher,  False.
University SubClassOf teaches some Project,  False.
employed_by some Module SubClassOf Module,  False.
Project SubClassOf manages some Person,  False.
Person and University SubClassOf Researcher,  False.
manages some Teacher SubClassOf Module,  False.
Professor and University SubClassOf Project,  False.
Professor SubClassOf teaches some Researcher,  False.
manages some Researcher SubClassOf Professor,  False.
Professor and Teacher SubClassOf Project,  False.
Module and Researcher SubClassOf University,  False.
Teacher SubClassOf teaches some Teacher,  False.
employed_by some Module SubClassOf Person,  False.
employed_by some Project SubClassOf Researcher,  False.
Professor SubClassOf University,  False.
manages some Module SubClassOf Project,  False.
Project and Researcher SubClassOf University,  False.
teaches some Researcher SubClassOf Researcher,  False.
University SubClassOf employed_by some Module,  False.
teaches some Professor SubClassOf Project,  False.
Researcher SubClassOf Project,  False.
Person and Professor SubClassOf Module,  False.
employed_by some Researcher SubClassOf Project,  False.
Teacher SubClassOf teaches some University,  False.
Project and Teacher SubClassOf Researcher,  False.
Person SubClassOf manages some Researcher,  False.
employed_by some Project SubClassOf Professor,  False.
Person and Researcher SubClassOf Project,  False.
manages some University SubClassOf Teacher,  False.
Project and University SubClassOf Researcher,  False.
Module and Teacher SubClassOf Person,  False.
Person SubClassOf manages some Person,  False.
manages some Professor SubClassOf Professor,  False.
Person SubClassOf employed_by some Person,  False.
manages some Module SubClassOf Researcher,  False.
Module and University SubClassOf Professor,  False.
teaches some Researcher SubClassOf Teacher,  False.
Module and Person SubClassOf University,  False.
employed_by some Module SubClassOf Teacher,  False.
Researcher SubClassOf teaches some Module,  False.
Professor SubClassOf employed_by some Teacher,  False.
Module and University SubClassOf Project,  False.
Professor and Teacher SubClassOf Person,  True.
Professor and Teacher SubClassOf University,  False.
Teacher SubClassOf Person,  False.
Module and Person SubClassOf Project,  False.
Person and Researcher SubClassOf University,  False.
Person SubClassOf Professor,  False.
Professor and University SubClassOf Researcher,  False.
employed_by some Project SubClassOf Teacher,  False.
Project and University SubClassOf Person,  False.
Teacher SubClassOf manages some Project,  False.
Professor and Project SubClassOf Researcher,  False.
University SubClassOf manages some University,  False.
Person SubClassOf Project,  False.
manages some Project SubClassOf Teacher,  False.
Teacher and University SubClassOf Module,  False.
Module and University SubClassOf Teacher,  False.
Researcher and Teacher SubClassOf Professor,  True.
Researcher and Teacher SubClassOf University,  False.
Researcher and Teacher SubClassOf Project,  I cannot
Researcher and Teacher SubClassOf Module,  False.
Teacher SubClassOf Professor,  False.
Researcher SubClassOf Professor,  False.
Person and Teacher SubClassOf Project,  False.
Person and Project SubClassOf Teacher,  False.
employed_by some Teacher SubClassOf University,  False.
Researcher and University SubClassOf Professor,  False.
Researcher SubClassOf teaches some Professor,  False.
manages some Person SubClassOf Researcher,  True.
manages some Person SubClassOf University,  False.
manages some Person SubClassOf Project,  False.
manages some Person SubClassOf Module,  False.
manages some Person SubClassOf Professor,  False.
manages some Person SubClassOf Teacher,  False.
manages some Person SubClassOf Person,  False.
Person SubClassOf Researcher,  False.
Thing SubClassOf manages some Person,  False.
Thing SubClassOf University,  False.
Thing SubClassOf Project,  False.
Thing SubClassOf Module,  False.
Thing SubClassOf Professor,  False.
Thing SubClassOf Teacher,  False.
Thing SubClassOf Person,  False.
Thing SubClassOf Researcher,  False.
Person SubClassOf University,  False.
Person SubClassOf Teacher,  False.
manages some Thing SubClassOf Researcher,  False.
Person and University SubClassOf Professor,  False.
Teacher SubClassOf employed_by some Researcher,  False.
Project SubClassOf manages some Researcher,  False.
Teacher and University SubClassOf Professor,  False.
employed_by some University SubClassOf University,  False.
teaches some Professor SubClassOf Teacher,  False.
Can something that teaches some Researcher be considered a subcategory of 'Professor'?,  I.
Can something that manages some Project be considered a subcategory of 'Person'?,  False.
Can Project be considered a subcategory of 'Professor'?,  False.
Can something that teaches some Project be considered a subcategory of 'University'?,  I.
Can Teacher that is also University be considered a subcategory of 'Researcher'?,  I.
Can Teacher that is also University be considered a subcategory of 'Person'?,  True.
Can Teacher that is also University be considered a subcategory of 'Project'?,  False.
Can Teacher that is also University be considered a subcategory of 'Module'?,  False.
Can Teacher that is also University be considered a subcategory of 'Professor'?,  I.
Can University be considered a subcategory of 'Person'?,  False.
Can Teacher be considered a subcategory of 'Person'?,  True.
Can Teacher be considered a subcategory of 'University'?,  False.
Can Teacher be considered a subcategory of 'Project'?,  False.
Can Teacher be considered a subcategory of 'Module'?,  False.
Can Teacher be considered a subcategory of 'Professor'?,  False.
Can Teacher be considered a subcategory of 'Researcher'?,  False.
Can Person that is also Project be considered a subcategory of 'Researcher'?,  False.
Can Professor that is also Teacher be considered a subcategory of 'Researcher'?,  I.
Can something that teaches some Researcher be considered a subcategory of 'Person'?,  I.
Can Module that is also Project be considered a subcategory of 'Researcher'?,  I.
Can Person that is also Teacher be considered a subcategory of 'University'?,  False.
Can Person be considered a subcategory of 'something that teaches some Project'?,  False.
