HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
HamiltonDepressionMeasure and HamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
Satiety and WeigthDifference SubClassOf ASAAConcentration,  False.
GeneExpressionDifference and PlasmaDrugConcentration SubClassOf LowRemission,  False.
ModerateReductionInMontgomeryAsbergDepressionRating and WeightMeasure SubClassOf HamiltonDepressionMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf PharmacodynamicMeasure,  True.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ChildDepressionScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf MolecularMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf RemissionFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf SatietyFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ModerateReductionInHamiltonAnxietyScore,  I cannot
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ASAAConcentrationIncrease,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ERVisitFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ForcedExperiatoryVolume,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf DailyBloodPressure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf HighRemission,  I'
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf WeigthDifference,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf GeneExpressionDifference,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ExerciseResponse,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf NeoplasmFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf GenotypeMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf QualityOfLife,  I cannot
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf AirwayResponsivenessUsingMethacholine,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf HighReductionInHamiltonAnxietyScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ModerateHamiltonDepressionScore,  I'
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf LowReductionInChildDepressionScore,  I'
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf BodyMassIndexDifference,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf HighHamiltonDepressionScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf HigherDiseaseSusceptibiltyOdds,  I cannot
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ForcedVitalCapacity,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf HamiltonDepressionMeasure,  I'
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf PlasmaDrugConcentration,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ElectrocardiogramQTInterval,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf PharmacokineticMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf LowMontgomeryAsbergDepressionRating,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf RemissionMeasure,  True.
SimilarRemissionOddsRatio SubClassOf RemissionMeasure,  True.
SimilarRemissionOddsRatio SubClassOf ChildDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf MolecularMeasure,  False.
SimilarRemissionOddsRatio SubClassOf RemissionFrequency,  False.
SimilarRemissionOddsRatio SubClassOf SatietyFrequency,  False.
SimilarRemissionOddsRatio SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
SimilarRemissionOddsRatio SubClassOf ASAAConcentrationIncrease,  False.
SimilarRemissionOddsRatio SubClassOf ERVisitFrequency,  False.
SimilarRemissionOddsRatio SubClassOf ForcedExperiatoryVolume,  False.
SimilarRemissionOddsRatio SubClassOf DailyBloodPressure,  False.
SimilarRemissionOddsRatio SubClassOf HighRemission,  False.
SimilarRemissionOddsRatio SubClassOf WeigthDifference,  False.
SimilarRemissionOddsRatio SubClassOf GeneExpressionDifference, False.
SimilarRemissionOddsRatio SubClassOf ExerciseResponse,  False.
SimilarRemissionOddsRatio SubClassOf NeoplasmFrequency,  False.
SimilarRemissionOddsRatio SubClassOf GenotypeMeasure,  False.
SimilarRemissionOddsRatio SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  I'
SimilarRemissionOddsRatio SubClassOf QualityOfLife,  False.
SimilarRemissionOddsRatio SubClassOf AirwayResponsivenessUsingMethacholine,  False.
SimilarRemissionOddsRatio SubClassOf HighReductionInHamiltonAnxietyScore,  I cannot
SimilarRemissionOddsRatio SubClassOf ModerateHamiltonDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf LowReductionInChildDepressionScore,  I cannot
SimilarRemissionOddsRatio SubClassOf BodyMassIndexDifference,  False.
SimilarRemissionOddsRatio SubClassOf HighHamiltonDepressionScore,  False.
SimilarRemissionOddsRatio SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
SimilarRemissionOddsRatio SubClassOf ForcedVitalCapacity,  False.
SimilarRemissionOddsRatio SubClassOf HamiltonDepressionMeasure,  False.
SimilarRemissionOddsRatio SubClassOf PlasmaDrugConcentration,  False.
SimilarRemissionOddsRatio SubClassOf ElectrocardiogramQTInterval,  False.
SimilarRemissionOddsRatio SubClassOf PharmacokineticMeasure,  True.
SimilarRemissionOddsRatio SubClassOf PharmacokineticMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf LowMontgomeryAsbergDepressionRating,  False.
SimilarRemissionOddsRatio SubClassOf BiologicalMeasure,  True.
SimilarRemissionOddsRatio SubClassOf BiologicalMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf GeneExpressionMeasure, False.
SimilarRemissionOddsRatio SubClassOf CellCount,  False.
SimilarRemissionOddsRatio SubClassOf ASAAMeasure,  True.
SimilarRemissionOddsRatio SubClassOf ASAAMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf PopulationVariation,  False.
SimilarRemissionOddsRatio SubClassOf MetabolicMeasure,  False.
SimilarRemissionOddsRatio SubClassOf TaxonomicMeasure,  True.
SimilarRemissionOddsRatio SubClassOf RemissionMeasure and TaxonomicMeasure,  False.
SimilarRemissionOddsRatio SubClassOf LowRemission,  False.
SimilarRemissionOddsRatio SubClassOf DrugClearance,  False.
SimilarRemissionOddsRatio SubClassOf ASAAConcentrationDifference,  False.
SimilarRemissionOddsRatio SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
SimilarRemissionOddsRatio SubClassOf ASAAConcentrationDecrease,  False.
SimilarRemissionOddsRatio SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
SimilarRemissionOddsRatio SubClassOf BodyMassIndexMeasure,  False.
SimilarRemissionOddsRatio SubClassOf IncreasedGeneExpression,  False.
SimilarRemissionOddsRatio SubClassOf PathogenCount,  False.
SimilarRemissionOddsRatio SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
SimilarRemissionOddsRatio SubClassOf SatietyDifference,  False.
SimilarRemissionOddsRatio SubClassOf DiseaseFrequency,  False.
SimilarRemissionOddsRatio SubClassOf MontgomeryAsbergDepressionMeasure,  I cannot
SimilarRemissionOddsRatio SubClassOf CognitiveMeasure,  False.
SimilarRemissionOddsRatio SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
SimilarRemissionOddsRatio SubClassOf HighMontgomeryAsbergDepressionRating,  False.
SimilarRemissionOddsRatio SubClassOf WeightLoss,  False.
SimilarRemissionOddsRatio SubClassOf Gender,  False.
SimilarRemissionOddsRatio SubClassOf HamiltonAnxietyScore,  False.
SimilarRemissionOddsRatio SubClassOf SatietyDecrease,  False.
SimilarRemissionOddsRatio SubClassOf Weigth,  False.
SimilarRemissionOddsRatio SubClassOf Race,  False.
SimilarRemissionOddsRatio SubClassOf WeigthGain,  False.
SimilarRemissionOddsRatio SubClassOf AsthmaFrequency,  False.
SimilarRemissionOddsRatio SubClassOf DecreasedGeneExpression,  False.
SimilarRemissionOddsRatio SubClassOf PharmacodynamicMeasure,  True.
SimilarRemissionOddsRatio SubClassOf PharmacodynamicMeasure and RemissionMeasure,  True for
SimilarRemissionOddsRatio SubClassOf ModerateRemission,  False.
SimilarRemissionOddsRatio SubClassOf TissueMeasure,  False.
SimilarRemissionOddsRatio SubClassOf MontgomeryAsbergDepressionRating,  False.
