Crop and MarinePlant SubClassOf Arthropod,  False.
Canopy and MarineMicrobiota SubClassOf Macroalgae,  False.
MarineInvertebrate and Poultry SubClassOf Human,  False.
Diatom and Human SubClassOf Invertebrate,  True for
Amphibian and Coral SubClassOf VegetationCover,  False.
Algae and Mammal SubClassOf Reptile,  False.
Coccolithophore and Sponge SubClassOf Roundworm,  False.
FloweringPlant and MarineBird SubClassOf Canopy,  False.
MarineMammal and Roundworm SubClassOf MarineBird,  False.
Amoebae and Leaf SubClassOf Flatworm,  False.
IndigenousVegetation and Invertebrate SubClassOf SlimeMold,  False.
Foraminifer and Vegetation SubClassOf Millipede,  False.
Fungi and MarineMicrobiota SubClassOf Zooplankton,  False.
DeciduousVegetation and Microbiota SubClassOf Mammal,  False.
Moss and Reptile SubClassOf IndigenousSpecies,  True for
Macroalgae and Microphyte SubClassOf Radiolarian,  False.
Chlorophyll and Coccolithophore SubClassOf Bacteria,  False.
FloweringPlant and Microphyte SubClassOf Poultry,  False.
Crop and Dairy SubClassOf Yeast,  False.
MarineMicrobiota and Mold SubClassOf Algae,  False.
Invertebrate and Jellyfish SubClassOf EvergreenVegetation,  False.
Roundworm and Vegetation SubClassOf Leaf,  False.
Ciliate and MarineMammal SubClassOf Vegetation,  False.
Algae and Mushroom SubClassOf Centipede,  False.
Echinoderm and Reptile SubClassOf Microphyte,  False.
Anemone and Microphyte SubClassOf Pollen,  False.
Animal and Plant SubClassOf MarineAnimal,  False.
FloweringPlant and Leaf SubClassOf Livestock,  False.
Pollen and Radiolarian SubClassOf Coral,  False.
Crown and MarineInvertebrate SubClassOf Mushroom,  False.
Fern and Fungi SubClassOf ExoticSpecies,  False.
Nutrient and Protist SubClassOf Sponge,  False.
Sporozoan SubClassOf Bird,  False.
Coccolithophore and Lichen SubClassOf Vertebrate,  False.
Crown and Plankton SubClassOf Plant,  False.
Insect and SlimeMold SubClassOf Echinoderm,  False.
Lichen and VegetationCover SubClassOf Amphibian,  False.
Diatom and Litter SubClassOf Flagellate,  False.
Macroalgae and VegetationSpecies SubClassOf Yeast,  False.
Amoebae and Leaf SubClassOf Centipede,  False.
Chlorophyll and IndigenousSpecies SubClassOf Fern,  False.
Livestock and Radiolarian SubClassOf Poultry,  False.
Dairy and Millipede SubClassOf EvergreenVegetation,  False.
Invertebrate and Phytoplankton SubClassOf Coccolithophore,  False.
Chlorophyll and Jellyfish SubClassOf ExoticSpecies,  True for
ExoticSpecies and Mushroom SubClassOf IndigenousVegetation,  False.
Ciliate and Mammal SubClassOf MarineAnimal,  False for
Poultry SubClassOf Chlorophyll,  False.
Liverwort and Macroalgae SubClassOf Insect,  False.
Bird and Radiolarian SubClassOf Litter,  False.
Human and Protist SubClassOf Mollusk,  False.
Livestock and Microalgae SubClassOf TreeRing,  False.
Crustacean and Millipede SubClassOf Ciliate,  False.
Insect and MarineAnimal SubClassOf Foraminifer,  False.
Arachnid and Mushroom SubClassOf Crustacean,  False.
Flagellate and Mammal SubClassOf ExoticVegetation,  False.
Amoebae and Animal SubClassOf MarineInvertebrate,  False.
Phytoplankton and SegmentedWorm SubClassOf Amoebae,  False.
Canopy and EvergreenVegetation SubClassOf MarineMicrobiota,  False.
Macrophyte and Mollusk SubClassOf Phytoplankton,  False.
Algae and Phytoplankton SubClassOf Jellyfish,  False.
IndigenousSpecies and Mold SubClassOf DominantSpecies,  False.
Canopy and Livestock SubClassOf Radiolarian,  False.
Macrophyte and MarineMammal SubClassOf Anemone,  False.
Phytoplankton and Vegetation SubClassOf Protist,  False.
Chlorophyll and IndigenousVegetation SubClassOf Zooplankton,  False.
Flatworm and Macroalgae SubClassOf Insect,  False.
ExoticVegetation and MarineMicrobiota SubClassOf Chlorophyll,  False.
Coral and Yeast SubClassOf Vegetation,  False.
MarineInvertebrate and Moss SubClassOf Liverwort,  False.
Mollusk and Protist SubClassOf Macrophyte,  False.
Centipede and Plant SubClassOf Plankton,  False.
Fern and Microbiota SubClassOf Crop,  False.
MarineMicrobiota and Yeast SubClassOf Livestock,  False.
Ciliate and Macrophyte SubClassOf Coral,  False.
Amphibian and Microalgae SubClassOf Crustacean,  False.
Liverwort and MarineMammal SubClassOf Ciliate,  False.
Conifer and Flagellate SubClassOf FungiTaxonomy,  False for
FloweringPlant and Lichen SubClassOf DeciduousVegetation,  False.
Crown and Echinoderm SubClassOf Nutrient,  False.
Canopy and MicrobiotaTaxonomy SubClassOf Pollen,  False.
Macrophyte and Plant SubClassOf MarineMammal,  False.
Crop and Litter SubClassOf Moss,  False.
Fish and Macroalgae SubClassOf Arthropod,  False.
Anemone and Protist SubClassOf Invertebrate,  False.
Litter and Sporozoan SubClassOf Human,  False.
Human and TreeRing SubClassOf Canopy,  False.
MarinePlant and Millipede SubClassOf Microbiota,  False.
Crown and Insect SubClassOf Diatom,  False.
FungiTaxonomy and VegetationCover SubClassOf MicrobiotaTaxonomy,  False.
Jellyfish and SegmentedWorm SubClassOf FloweringPlant,  False.
Amphibian and Mammal SubClassOf MarineBird,  False.
Amoebae and Canopy SubClassOf Arachnid,  False.
IndigenousSpecies and Sponge SubClassOf SlimeMold,  False.
Animal and Dairy SubClassOf Conifer,  False.
Leaf SubClassOf Pollen,  False.
Ciliate and Lichen SubClassOf Litter,  False.
Amphibian and Bacteria SubClassOf IndigenousVegetation,  False.
Amoebae and Fungi SubClassOf MarineMammal,  False.
Fish and Invertebrate SubClassOf Microalgae,  False.
Chlorophyll and MarinePlant SubClassOf ExoticSpecies,  False.
Conifer and ExoticSpecies SubClassOf Fish,  False.
Poultry and VegetationCover SubClassOf Arthropod,  False.
BlueGreenAlgae and Yeast SubClassOf MarineInvertebrate,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Invertebrate,  True.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf VegetationCover,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Microalgae,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Fungi,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Arachnid,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf VegetationSpecies,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Livestock,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Sponge,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Flatworm,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Diatom,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf FungiTaxonomy,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf MarinePlant,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Moss,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Vertebrate,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Radiolarian,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Human,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf MarineMicrobiota,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Animal,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Flagellate,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Poultry,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf MarineMammal,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Amphibian,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Millipede,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Plankton,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Roundworm,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Microphyte,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf SlimeMold,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Microbiota,  True.
MarineInvertebrate SubClassOf Microbiota,  False.
MicrobiotaTaxonomy SubClassOf Microbiota,  True.
MicrobiotaTaxonomy SubClassOf VegetationCover,  False.
MicrobiotaTaxonomy SubClassOf Microalgae,  False.
MicrobiotaTaxonomy SubClassOf Fungi,  False.
MicrobiotaTaxonomy SubClassOf Arachnid,  False.
MicrobiotaTaxonomy SubClassOf VegetationSpecies,  False.
MicrobiotaTaxonomy SubClassOf Livestock,  True.
MicrobiotaTaxonomy SubClassOf Livestock and Microbiota,  True.
