Neuron and StructuralCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte,  False.
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte,  I cannot
Miocyte and StructuralCell SubClassOf LeafCell,  False.
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte,  I cannot
Cell and MatureCell SubClassOf Osteocyte,  True.
Cell and MatureCell SubClassOf SclerenchymaCell,  False.
Cell and MatureCell SubClassOf LeafCell,  False.
Cell and MatureCell SubClassOf Erythrocyte,  True.
Cell SubClassOf Erythrocyte,  True,
Cell SubClassOf SclerenchymaCell,  True.
Cell SubClassOf Erythrocyte and SclerenchymaCell,  Cell is
Cell SubClassOf LeafCell,  False.
Cell SubClassOf PhotosyntheticCell,  True,
Cell SubClassOf Erythrocyte and PhotosyntheticCell,  Cell is
Cell SubClassOf CirculatingCell,  True.
Cell SubClassOf CirculatingCell and Erythrocyte,  True,
Cell SubClassOf PlantCell,  False.
Cell SubClassOf CellByClass,  True.
Cell SubClassOf CellByClass and CirculatingCell and Erythrocyte,  True for
Cell SubClassOf MatureCell,  True.
Cell SubClassOf CirculatingCell and Erythrocyte and MatureCell,  True for
Cell SubClassOf AnimalCell,  True.
Cell SubClassOf AnimalCell and CirculatingCell and Erythrocyte,  Cell is
Cell SubClassOf Miocyte,  False.
Cell SubClassOf InMatureCell,  False.
Cell SubClassOf Osteocyte,  True,
Cell SubClassOf CirculatingCell and Erythrocyte and Osteocyte,  Cell is
Cell SubClassOf ChondroBlast,  False.
Cell SubClassOf MioBlast,  False.
Cell SubClassOf CellByDevelopmentStage,  False.
Cell SubClassOf PhotoreceptorCell,  True.
Cell SubClassOf CirculatingCell and Erythrocyte and PhotoreceptorCell,  Cell is
Cell SubClassOf CellByOrganism,  True.
Cell SubClassOf CellByOrganism and CirculatingCell and Erythrocyte,  True for
Cell SubClassOf ElectricallyActiveCell,  True.
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte,  True,
Cell SubClassOf StructuralCell,  True.
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and StructuralCell,  True:
Cell SubClassOf Neuron,  True.
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and Neuron,  True for
Cell SubClassOf ChondroCyte,  I cannot
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and SclerenchymaCell,  Here are
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and PhotosyntheticCell,  Here are
Cell SubClassOf CellByClass and CirculatingCell and ElectricallyActiveCell and Erythrocyte,  Cell is
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and MatureCell,  True for
Cell SubClassOf AnimalCell and CirculatingCell and ElectricallyActiveCell and Erythrocyte,  Cell is
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and Osteocyte,  Cell is
Cell SubClassOf CirculatingCell and ElectricallyActiveCell and Erythrocyte and PhotoreceptorCell,  Cell is
Cell SubClassOf CellByOrganism and CirculatingCell and ElectricallyActiveCell and Erythrocyte,  Here are
CellByClass and InMatureCell SubClassOf AnimalCell,  I cannot
ChondroCyte and LeafCell SubClassOf Neuron,  False.
CirculatingCell and LeafCell SubClassOf Neuron,  False.
CellByOrganism and ChondroCyte SubClassOf AnimalCell,  I cannot
Osteocyte and SclerenchymaCell SubClassOf AnimalCell,  False for
InMatureCell and Miocyte SubClassOf PhotosyntheticCell,  False.
Cell and StructuralCell SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf ChondroCyte,  I cannot
AnimalCell and InMatureCell SubClassOf ChondroCyte,  False.
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage and Miocyte SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf SclerenchymaCell,  I cannot
CirculatingCell and SclerenchymaCell SubClassOf LeafCell,  False.
LeafCell and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and Osteocyte SubClassOf PhotoreceptorCell,  False.
ChondroCyte SubClassOf PhotoreceptorCell,  False.
Neuron and PlantCell SubClassOf LeafCell,  False.
LeafCell and SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByClass and Osteocyte SubClassOf LeafCell,  True (
CellByOrganism and Osteocyte SubClassOf StructuralCell,  True.
CellByOrganism and Osteocyte SubClassOf SclerenchymaCell,  False.
CellByOrganism and Osteocyte SubClassOf LeafCell,  False.
CellByOrganism and Osteocyte SubClassOf Erythrocyte,  False.
CellByOrganism and Osteocyte SubClassOf PhotosyntheticCell,  False.
CellByOrganism and Osteocyte SubClassOf CirculatingCell,  False.
CellByOrganism and Osteocyte SubClassOf PlantCell,  False.
CellByOrganism and Osteocyte SubClassOf CellByClass,  True.
Osteocyte SubClassOf CellByClass,  True.
Osteocyte SubClassOf SclerenchymaCell,  False.
Osteocyte SubClassOf LeafCell,  True.
Osteocyte SubClassOf CellByClass and LeafCell,  True for
Osteocyte SubClassOf Erythrocyte,  False.
Osteocyte SubClassOf PhotosyntheticCell,  False.
Osteocyte SubClassOf CirculatingCell,  False.
Osteocyte SubClassOf PlantCell,  False.
Osteocyte SubClassOf MatureCell,  True.
Osteocyte SubClassOf CellByClass and MatureCell,  True for
Osteocyte SubClassOf AnimalCell,  True.
Osteocyte SubClassOf AnimalCell and CellByClass,  True for
Osteocyte SubClassOf Cell,  True.
Osteocyte SubClassOf Cell and CellByClass,  True for
Osteocyte SubClassOf Miocyte,  False.
Osteocyte SubClassOf InMatureCell,  True.
Osteocyte SubClassOf CellByClass and InMatureCell,  True for
Osteocyte SubClassOf ChondroBlast,  False.
Osteocyte SubClassOf MioBlast,  False.
Osteocyte SubClassOf CellByDevelopmentStage,  True.
Osteocyte SubClassOf CellByClass and CellByDevelopmentStage,  True for
Osteocyte SubClassOf PhotoreceptorCell,  False.
Osteocyte SubClassOf CellByOrganism,  True.
Osteocyte SubClassOf CellByClass and CellByOrganism,  True for
Osteocyte SubClassOf ElectricallyActiveCell,  True.
Osteocyte SubClassOf CellByClass and ElectricallyActiveCell,  True for
Osteocyte SubClassOf StructuralCell,  True.
Osteocyte SubClassOf CellByClass and StructuralCell,  True for
Osteocyte SubClassOf Neuron,  False.
Osteocyte SubClassOf ChondroCyte,  False.
MatureCell and MioBlast SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf Cell,  True.
ElectricallyActiveCell and PlantCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf LeafCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and PlantCell SubClassOf PhotosyntheticCell,  True.
ElectricallyActiveCell SubClassOf PhotosyntheticCell,  False.
PlantCell SubClassOf PhotosyntheticCell,  True.
PlantCell SubClassOf SclerenchymaCell,  False.
PlantCell SubClassOf LeafCell,  False.
PlantCell SubClassOf Erythrocyte,  False.
PlantCell SubClassOf CirculatingCell,  False.
PlantCell SubClassOf CellByClass,  True.
PlantCell SubClassOf CellByClass and PhotosyntheticCell,  True for
PlantCell SubClassOf MatureCell,  True.
PlantCell SubClassOf MatureCell and PhotosyntheticCell,  True,
PlantCell SubClassOf AnimalCell,  False.
PlantCell SubClassOf Cell,  True.
PlantCell SubClassOf Cell and MatureCell and PhotosyntheticCell,  True for
PlantCell SubClassOf Miocyte,  False.
PlantCell SubClassOf InMatureCell,  True,
PlantCell SubClassOf InMatureCell and MatureCell and PhotosyntheticCell,  True:
PlantCell SubClassOf Osteocyte,  False.
PlantCell SubClassOf ChondroBlast,  False.
PlantCell SubClassOf MioBlast,  False.
PlantCell SubClassOf CellByDevelopmentStage,  True.
PlantCell SubClassOf CellByDevelopmentStage and MatureCell and PhotosyntheticCell,  True for
PlantCell SubClassOf PhotoreceptorCell,  False.
PlantCell SubClassOf CellByOrganism,  True.
PlantCell SubClassOf CellByOrganism and MatureCell and PhotosyntheticCell,  True for
PlantCell SubClassOf ElectricallyActiveCell,  False.
PlantCell SubClassOf StructuralCell,  False.
PlantCell SubClassOf Neuron,  False.
PlantCell SubClassOf ChondroCyte,  False.
PlantCell SubClassOf CellByClass and MatureCell and PhotosyntheticCell,  True for
ChondroBlast and Neuron SubClassOf StructuralCell,  True for
ChondroBlast and SclerenchymaCell SubClassOf StructuralCell,  True.
ChondroBlast and SclerenchymaCell SubClassOf LeafCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf Erythrocyte,  False.
ChondroBlast and SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf CirculatingCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf PlantCell,  True.
SclerenchymaCell SubClassOf PlantCell,  True.
SclerenchymaCell SubClassOf LeafCell,  False.
SclerenchymaCell SubClassOf Erythrocyte,  False.
SclerenchymaCell SubClassOf PhotosyntheticCell,  False.
SclerenchymaCell SubClassOf CirculatingCell,  False.
SclerenchymaCell SubClassOf CellByClass,  True.
SclerenchymaCell SubClassOf CellByClass and PlantCell,  True,
SclerenchymaCell SubClassOf MatureCell,  True.
SclerenchymaCell SubClassOf CellByClass and MatureCell and PlantCell,  True for
SclerenchymaCell SubClassOf AnimalCell,  False.
SclerenchymaCell SubClassOf Cell,  True.
SclerenchymaCell SubClassOf Cell and CellByClass and PlantCell,  True for
SclerenchymaCell SubClassOf Miocyte,  False.
SclerenchymaCell SubClassOf InMatureCell,  True,
SclerenchymaCell SubClassOf CellByClass and InMatureCell and PlantCell,  True,
SclerenchymaCell SubClassOf Osteocyte,  False.
SclerenchymaCell SubClassOf ChondroBlast,  False.
SclerenchymaCell SubClassOf MioBlast,  False.
SclerenchymaCell SubClassOf CellByDevelopmentStage,  True.
SclerenchymaCell SubClassOf CellByClass and CellByDevelopmentStage and InMatureCell and PlantCell,  True for
SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
SclerenchymaCell SubClassOf CellByOrganism,  True.
SclerenchymaCell SubClassOf CellByClass and CellByOrganism and InMatureCell and PlantCell,  True for
SclerenchymaCell SubClassOf ElectricallyActiveCell,  False.
SclerenchymaCell SubClassOf StructuralCell,  True.
SclerenchymaCell SubClassOf CellByClass and InMatureCell and PlantCell and StructuralCell,  True for
SclerenchymaCell SubClassOf Neuron,  False.
SclerenchymaCell SubClassOf ChondroCyte,  False.
SclerenchymaCell SubClassOf CellByClass and InMatureCell and MatureCell and PlantCell,  True for
SclerenchymaCell SubClassOf Cell and CellByClass and InMatureCell and PlantCell,  True for
Erythrocyte and StructuralCell SubClassOf CirculatingCell,  True.
Erythrocyte and StructuralCell SubClassOf SclerenchymaCell,  False.
Erythrocyte and StructuralCell SubClassOf LeafCell,  False.
Erythrocyte and StructuralCell SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf CirculatingCell,  True.
Erythrocyte SubClassOf SclerenchymaCell,  False.
Erythrocyte SubClassOf LeafCell,  True.
Erythrocyte SubClassOf CirculatingCell and LeafCell,  True for
Erythrocyte SubClassOf PhotosyntheticCell,  False.
Erythrocyte SubClassOf PlantCell,  False.
Erythrocyte SubClassOf CellByClass,  True.
Erythrocyte SubClassOf CellByClass and CirculatingCell,  True for
Erythrocyte SubClassOf MatureCell,  True.
Erythrocyte SubClassOf CirculatingCell and MatureCell,  True for
Erythrocyte SubClassOf AnimalCell,  True.
Erythrocyte SubClassOf AnimalCell and CirculatingCell,  True for
Erythrocyte SubClassOf Cell,  True.
Erythrocyte SubClassOf Cell and CirculatingCell,  True for
Erythrocyte SubClassOf Miocyte,  False.
Erythrocyte SubClassOf InMatureCell,  True.
Erythrocyte SubClassOf CirculatingCell and InMatureCell,  True for
Erythrocyte SubClassOf Osteocyte,  False.
Erythrocyte SubClassOf ChondroBlast,  False.
Erythrocyte SubClassOf MioBlast,  False.
Erythrocyte SubClassOf CellByDevelopmentStage,  True.
Erythrocyte SubClassOf CellByDevelopmentStage and CirculatingCell,  True for
Erythrocyte SubClassOf PhotoreceptorCell,  False.
Erythrocyte SubClassOf CellByOrganism,  True.
Erythrocyte SubClassOf CellByOrganism and CirculatingCell,  True for
Erythrocyte SubClassOf ElectricallyActiveCell,  False.
Erythrocyte SubClassOf StructuralCell,  True.
Erythrocyte SubClassOf CirculatingCell and StructuralCell,  True for
Erythrocyte SubClassOf Neuron,  False.
Erythrocyte SubClassOf ChondroCyte,  False.
AnimalCell SubClassOf Cell,  True.
AnimalCell SubClassOf SclerenchymaCell,  False.
AnimalCell SubClassOf LeafCell,  False.
AnimalCell SubClassOf Erythrocyte,  False.
AnimalCell SubClassOf PhotosyntheticCell,  False.
AnimalCell SubClassOf CirculatingCell,  False.
AnimalCell SubClassOf PlantCell,  False.
AnimalCell SubClassOf CellByClass,  True.
AnimalCell SubClassOf MatureCell,  True.
AnimalCell SubClassOf CellByClass and MatureCell,  True for
AnimalCell SubClassOf Cell and CellByClass,  True for
AnimalCell SubClassOf Miocyte,  False.
AnimalCell SubClassOf InMatureCell,  True,
AnimalCell SubClassOf CellByClass and InMatureCell,  True for
AnimalCell SubClassOf Osteocyte,  False.
AnimalCell SubClassOf ChondroBlast,  False.
AnimalCell SubClassOf MioBlast,  False.
AnimalCell SubClassOf CellByDevelopmentStage,  True.
AnimalCell SubClassOf CellByClass and CellByDevelopmentStage,  True for
AnimalCell SubClassOf PhotoreceptorCell,  False.
AnimalCell SubClassOf CellByOrganism,  True.
AnimalCell SubClassOf CellByClass and CellByOrganism,  True for
AnimalCell SubClassOf ElectricallyActiveCell,  False.
AnimalCell SubClassOf StructuralCell,  False.
AnimalCell SubClassOf Neuron,  False.
AnimalCell SubClassOf ChondroCyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf Cell,  True.
ElectricallyActiveCell and LeafCell SubClassOf SclerenchymaCell,  False.
ElectricallyActiveCell and LeafCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and LeafCell SubClassOf PhotosyntheticCell,  True.
LeafCell SubClassOf PhotosyntheticCell,  True.
LeafCell SubClassOf SclerenchymaCell,  False.
LeafCell SubClassOf Erythrocyte,  I cannot
LeafCell SubClassOf CirculatingCell,  False.
LeafCell SubClassOf PlantCell,  True.
LeafCell SubClassOf PhotosyntheticCell and PlantCell,  True,
LeafCell SubClassOf CellByClass,  I cannot
LeafCell SubClassOf MatureCell,  True.
LeafCell SubClassOf MatureCell and PhotosyntheticCell and PlantCell,  True for
LeafCell SubClassOf AnimalCell,  False.
LeafCell SubClassOf Cell,  True.
LeafCell SubClassOf Cell and PhotosyntheticCell and PlantCell,  True for
LeafCell SubClassOf Miocyte,  False.
LeafCell SubClassOf InMatureCell,  I cannot
LeafCell SubClassOf Osteocyte,  False.
LeafCell SubClassOf ChondroBlast,  False.
LeafCell SubClassOf MioBlast,  False.
LeafCell SubClassOf CellByDevelopmentStage,  I cannot
LeafCell SubClassOf PhotoreceptorCell,  False.
LeafCell SubClassOf CellByOrganism,  True.
LeafCell SubClassOf CellByOrganism and PhotosyntheticCell and PlantCell,  I cannot
LeafCell SubClassOf ElectricallyActiveCell,  True.
LeafCell SubClassOf ElectricallyActiveCell and PhotosyntheticCell and PlantCell,  Here are
LeafCell SubClassOf StructuralCell,  True.
LeafCell SubClassOf PhotosyntheticCell and PlantCell and StructuralCell,  True for
LeafCell SubClassOf Neuron,  False.
LeafCell SubClassOf ChondroCyte,  False.
CellByDevelopmentStage and PhotoreceptorCell SubClassOf MatureCell,  True for
InMatureCell and PlantCell SubClassOf CellByClass,  True for
CellByOrganism and PhotoreceptorCell SubClassOf ChondroBlast,  False.
AnimalCell and ElectricallyActiveCell SubClassOf MatureCell,  True for
Cell and PhotosyntheticCell SubClassOf MatureCell,  True.
Cell and PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
Cell and PhotosyntheticCell SubClassOf LeafCell,  False.
Cell and PhotosyntheticCell SubClassOf PlantCell,  True.
PhotosyntheticCell SubClassOf PlantCell,  True.
PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
PhotosyntheticCell SubClassOf LeafCell,  True.
PhotosyntheticCell SubClassOf LeafCell and PlantCell,  True,
PhotosyntheticCell SubClassOf Erythrocyte,  False.
PhotosyntheticCell SubClassOf CirculatingCell,  False.
PhotosyntheticCell SubClassOf CellByClass,  True.
PhotosyntheticCell SubClassOf CellByClass and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf MatureCell,  True.
PhotosyntheticCell SubClassOf LeafCell and MatureCell and PlantCell,  True for
PhotosyntheticCell SubClassOf AnimalCell,  False.
PhotosyntheticCell SubClassOf Cell,  True.
PhotosyntheticCell SubClassOf Cell and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Miocyte,  False.
PhotosyntheticCell SubClassOf InMatureCell,  True.
PhotosyntheticCell SubClassOf InMatureCell and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf Osteocyte,  False.
PhotosyntheticCell SubClassOf ChondroBlast,  False.
PhotosyntheticCell SubClassOf MioBlast,  False.
PhotosyntheticCell SubClassOf CellByDevelopmentStage,  True.
PhotosyntheticCell SubClassOf CellByDevelopmentStage and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
PhotosyntheticCell SubClassOf CellByOrganism,  True.
PhotosyntheticCell SubClassOf CellByOrganism and LeafCell and PlantCell,  True for
PhotosyntheticCell SubClassOf ElectricallyActiveCell,  False.
PhotosyntheticCell SubClassOf StructuralCell,  True.
PhotosyntheticCell SubClassOf LeafCell and PlantCell and StructuralCell,  True for
PhotosyntheticCell SubClassOf Neuron,  False.
PhotosyntheticCell SubClassOf ChondroCyte,  False.
StructuralCell SubClassOf PlantCell,  False.
CirculatingCell and Neuron SubClassOf PhotosyntheticCell,  False.
Erythrocyte and Miocyte SubClassOf PhotosyntheticCell,  False.
MioBlast and StructuralCell SubClassOf InMatureCell,  I cannot
LeafCell and MioBlast SubClassOf Miocyte,  I cannot
ElectricallyActiveCell and MatureCell SubClassOf InMatureCell,  False.
ChondroBlast and MatureCell SubClassOf PlantCell,  False.
AnimalCell and PhotoreceptorCell SubClassOf Miocyte,  False.
ChondroCyte and Erythrocyte SubClassOf Miocyte,  False.
CellByDevelopmentStage and ElectricallyActiveCell SubClassOf Miocyte,  I cannot
CellByOrganism and ElectricallyActiveCell SubClassOf PlantCell,  False.
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell,  False.
CellByClass and PlantCell SubClassOf CellByOrganism,  I cannot
AnimalCell and Cell SubClassOf CellByOrganism,  True (
AnimalCell and PhotosyntheticCell SubClassOf CellByOrganism,  True.
AnimalCell and PhotosyntheticCell SubClassOf SclerenchymaCell,  False.
AnimalCell and PhotosyntheticCell SubClassOf Erythrocyte,  False.
AnimalCell and PhotosyntheticCell SubClassOf CirculatingCell,  False.
AnimalCell and PhotosyntheticCell SubClassOf Cell,  True.
PhotosyntheticCell SubClassOf Cell and LeafCell,  True,
PhotosyntheticCell SubClassOf Cell and CellByClass and LeafCell,  True for
PhotosyntheticCell SubClassOf Cell and LeafCell and MatureCell,  True for
PhotosyntheticCell SubClassOf Cell and InMatureCell and LeafCell,  True for
PhotosyntheticCell SubClassOf Cell and CellByDevelopmentStage and LeafCell,  True for
