BallGame and FootballTeam SubClassOf Player,  False.
plays_for some BallGame SubClassOf Team,  True.
plays_for some BallGame SubClassOf Manager,  False.
BallGame SubClassOf Team,  True.
BallGame SubClassOf Thing,  True.
BallGame SubClassOf Team and Thing,  BallGame
BallGame SubClassOf Manager,  False.
BallGame SubClassOf Player,  False.
BallGame SubClassOf FootballTeam,  False.
BallGame SubClassOf Game,  True.
BallGame SubClassOf Game and Team,  True for
BallGame SubClassOf FootballPlayer,  False.
BallGame SubClassOf Football,  True if
BallGame SubClassOf Person,  False.
BallGame and FootballTeam SubClassOf Person,  False.
FootballPlayer and Person SubClassOf Game,  False.
BallGame and FootballPlayer SubClassOf Football,  True.
BallGame and FootballPlayer SubClassOf Manager,  False.
BallGame and FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Thing,  True.
FootballPlayer SubClassOf Player and Thing,  True,
FootballPlayer SubClassOf Manager,  False.
FootballPlayer SubClassOf Team,  True.
FootballPlayer SubClassOf Player and Team and Thing,  True,
FootballPlayer SubClassOf FootballTeam,  False.
FootballPlayer SubClassOf Game,  True.
FootballPlayer SubClassOf Game and Player and Team and Thing,  True,
FootballPlayer SubClassOf Football,  True.
FootballPlayer SubClassOf Football and Game and Player and Team and Thing,  True,
FootballPlayer SubClassOf Person,  True.
FootballPlayer SubClassOf Football and Game and Person and Player and Team and Thing,  FootballPlayer
FootballPlayer SubClassOf BallGame,  False.
managed_by some BallGame SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf FootballPlayer,  False.
BallGame and Manager SubClassOf Game,  True.
BallGame and Manager SubClassOf Player,  False.
BallGame and Manager SubClassOf FootballTeam,  True for
Manager SubClassOf Game,  False.
BallGame SubClassOf Game and Thing,  True,
BallGame SubClassOf Game and Team and Thing,  BallGame
FootballTeam and Player SubClassOf FootballPlayer,  False.
Game SubClassOf plays some BallGame,  False.
Game and Person SubClassOf Football,  False.
Game and Person SubClassOf BallGame,  False.
plays some Team SubClassOf FootballPlayer,  True.
plays some Team SubClassOf Manager,  I cannot
plays some Team SubClassOf Team,  True.
Team SubClassOf Team,  False.
Thing SubClassOf Thing and (plays some (Team and Thing)),  True for
Thing SubClassOf Manager,  False.
Thing SubClassOf Team,  False.
Thing SubClassOf Player,  False.
Thing SubClassOf FootballTeam,  I'
Thing SubClassOf Game,  False.
Thing SubClassOf FootballPlayer,  I cannot
Thing SubClassOf Football,  False.
Thing SubClassOf Person,  False.
Thing SubClassOf BallGame,  I cannot
Team and Thing SubClassOf Manager,  False.
Team and Thing SubClassOf Player,  False.
Team and Thing SubClassOf FootballTeam,  False.
Team and Thing SubClassOf Game,  False.
Team and Thing SubClassOf FootballPlayer,  False for
Team and Thing SubClassOf Football,  False.
Team and Thing SubClassOf Person,  False.
Team and Thing SubClassOf BallGame,  False.
Thing and (plays some Team) and (plays some Thing) SubClassOf Thing and (plays some (Team and Thing)),  True for
Thing and (plays some Team) and (plays some Thing) SubClassOf Team,  False.
Thing and (plays some (Team and Thing)) SubClassOf Thing and (plays some (Team and Thing)),  False.
Thing and (plays some (Team and Thing)) SubClassOf Team,  False.
Thing and (plays some Thing) SubClassOf Team,  False.
FootballPlayer and Manager SubClassOf Person,  True.
FootballPlayer and Manager SubClassOf FootballTeam,  False.
Manager SubClassOf Person,  False.
FootballPlayer SubClassOf Person and Thing,  True,
FootballPlayer SubClassOf Person and Team and Thing,  FootballPlayer
FootballPlayer SubClassOf Person and Player and Thing,  True for
FootballPlayer SubClassOf Game and Person and Thing,  True,
FootballPlayer SubClassOf Football and Game and Person and Thing,  True,
Football and Player SubClassOf Person,  True (
FootballTeam and Team SubClassOf Football,  True.
FootballTeam and Team SubClassOf Manager,  False.
FootballTeam and Team SubClassOf Player,  False.
FootballTeam and Team SubClassOf Game,  False.
Team SubClassOf Football,  False.
FootballTeam SubClassOf Football,  True.
FootballTeam SubClassOf Thing,  True.
FootballTeam SubClassOf Football and Thing,  True,
FootballTeam SubClassOf Manager,  False.
FootballTeam SubClassOf Team,  True.
FootballTeam SubClassOf Football and Team and Thing,  True,
FootballTeam SubClassOf Player,  False.
FootballTeam SubClassOf Game,  True.
FootballTeam SubClassOf Football and Game and Team and Thing,  True,
FootballTeam SubClassOf FootballPlayer,  False.
FootballTeam SubClassOf Person,  False.
FootballTeam SubClassOf BallGame,  True.
FootballTeam SubClassOf BallGame and Football and Game and Team and Thing,  Here are
Person SubClassOf FootballPlayer,  False.
plays_for some Manager SubClassOf Football,  True.
plays_for some Manager SubClassOf Manager,  True.
Manager SubClassOf Manager,  False.
Thing SubClassOf Thing and (plays_for some (Manager and Thing)),  True for
Manager and Thing SubClassOf Team,  False.
Manager and Thing SubClassOf Player,  False for
Manager and Thing SubClassOf FootballTeam,  False for
Manager and Thing SubClassOf Game,  False.
Manager and Thing SubClassOf FootballPlayer,  False.
Manager and Thing SubClassOf Football,  False.
Manager and Thing SubClassOf Person,  False.
Manager and Thing SubClassOf BallGame,  False.
Thing and (plays_for some Manager) and (plays_for some Thing) SubClassOf Thing and (plays_for some (Manager and Thing)), False.
Thing and (plays_for some Manager) and (plays_for some Thing) SubClassOf Manager,  False.
Thing and (plays_for some (Manager and Thing)) SubClassOf Thing and (plays_for some (Manager and Thing)),  False.
Thing and (plays_for some (Manager and Thing)) SubClassOf Manager,  False.
Thing and (plays_for some Thing) SubClassOf Manager,  False.
FootballPlayer and FootballTeam SubClassOf BallGame,  False.
plays some FootballTeam SubClassOf BallGame,  True.
plays some FootballTeam SubClassOf Manager,  False.
plays some FootballTeam SubClassOf Player,  True.
Team and Thing SubClassOf Team and Thing and (plays some (Football and FootballTeam and Game and Team and Thing)),  False.
Football and FootballTeam and Game and Team and Thing SubClassOf Manager,  False.
Football and FootballTeam and Game and Team and Thing SubClassOf Player,  False.
Football and FootballTeam and Game and Team and Thing SubClassOf FootballPlayer,  False for
Football and FootballTeam and Game and Team and Thing SubClassOf Person,  False.
Football and FootballTeam and Game and Team and Thing SubClassOf BallGame,  False for
Team and Thing and (plays some Football) and (plays some (FootballTeam and Game and Team and Thing)) SubClassOf Team and Thing and (plays some (Football and FootballTeam and Game and Team and Thing)),  Here are
Team and Thing and (plays some Football) and (plays some (FootballTeam and Game and Team and Thing)) SubClassOf Player, False.
Team and Thing and (plays some (Football and FootballTeam and Game and Team and Thing)) SubClassOf Team and Thing and (plays some (Football and FootballTeam and Game and Team and Thing)),  True for
Team and Thing and (plays some (Football and FootballTeam and Game and Team and Thing)) SubClassOf Player,  False.
Thing and (plays some (Football and FootballTeam and Game and Team and Thing)) SubClassOf Player,  False.
Team and Thing and (plays some (FootballTeam and Game and Team and Thing)) SubClassOf Player,  False.
Team and Thing and (plays some (Football and Game and Team and Thing)) SubClassOf Player,  False.
Team and Thing and (plays some (Football and FootballTeam and Team and Thing)) SubClassOf Player,  False.
Team and Thing and (plays some (Football and FootballTeam and Game and Thing)) SubClassOf Player,  False.
Person and Team SubClassOf Football,  False.
BallGame and Team SubClassOf FootballTeam,  False.
Manager and Person SubClassOf Player,  False.
plays some Person SubClassOf Manager,  True.
Person SubClassOf Manager,  False.
Thing SubClassOf Thing and (plays some (Person and Thing)),  True for
Person and Thing SubClassOf Manager,  False.
Person and Thing SubClassOf Team,  False.
Person and Thing SubClassOf Player,  False.
Person and Thing SubClassOf FootballTeam,  False.
Person and Thing SubClassOf Game,  False.
Person and Thing SubClassOf FootballPlayer,  False.
Person and Thing SubClassOf Football,  False.
Person and Thing SubClassOf BallGame,  False.
Thing and (plays some Person) and (plays some Thing) SubClassOf Thing and (plays some (Person and Thing)),  True for
Thing and (plays some Person) and (plays some Thing) SubClassOf Manager,  False.
Thing and (plays some (Person and Thing)) SubClassOf Thing and (plays some (Person and Thing)),  True.
Thing and (plays some Thing) SubClassOf Manager,  False.
plays_for some BallGame SubClassOf Game,  True.
Thing SubClassOf Thing and (plays_for some (BallGame and Game and Team and Thing)),  True for
BallGame and Game and Team and Thing SubClassOf Manager,  False.
