Neuron and StructuralCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte,  False.
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte,  False.
Miocyte and StructuralCell SubClassOf LeafCell,  False.
CellByDevelopmentStage and LeafCell SubClassOf AnimalCell,  False.
CellByDevelopmentStage and ChondroBlast SubClassOf Osteocyte,  False.
Cell and MatureCell SubClassOf Osteocyte,  False.
CellByClass and InMatureCell SubClassOf AnimalCell,  False.
ChondroCyte and LeafCell SubClassOf Neuron,  False.
CirculatingCell and LeafCell SubClassOf Neuron,  False.
CellByOrganism and ChondroCyte SubClassOf AnimalCell,  False.
Osteocyte and SclerenchymaCell SubClassOf AnimalCell,  False.
InMatureCell and Miocyte SubClassOf PhotosyntheticCell,  False.
Cell and StructuralCell SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf ChondroCyte,  False.
AnimalCell and InMatureCell SubClassOf ChondroCyte,  False.
CellByClass and ChondroBlast SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage and Miocyte SubClassOf SclerenchymaCell,  False.
InMatureCell and StructuralCell SubClassOf SclerenchymaCell,  False.
Cell and PhotoreceptorCell SubClassOf ElectricallyActiveCell,  True.
Cell and PhotoreceptorCell SubClassOf SclerenchymaCell,  False.
Cell and PhotoreceptorCell SubClassOf LeafCell,  False.
Cell and PhotoreceptorCell SubClassOf Erythrocyte,  False.
Cell and PhotoreceptorCell SubClassOf PhotosyntheticCell,  False.
Cell and PhotoreceptorCell SubClassOf CirculatingCell,  False.
Cell and PhotoreceptorCell SubClassOf PlantCell,  False.
Cell and PhotoreceptorCell SubClassOf CellByClass,  True.
Cell SubClassOf CellByClass,  False.
PhotoreceptorCell SubClassOf CellByClass,  False.
CirculatingCell and SclerenchymaCell SubClassOf LeafCell,  False.
LeafCell and PhotosyntheticCell SubClassOf PhotoreceptorCell,  False.
CellByDevelopmentStage and Osteocyte SubClassOf PhotoreceptorCell,  False.
ChondroCyte SubClassOf PhotoreceptorCell,  False.
Neuron and PlantCell SubClassOf LeafCell,  False.
LeafCell and SclerenchymaCell SubClassOf PhotoreceptorCell,  False.
CellByClass and Osteocyte SubClassOf LeafCell,  False.
CellByOrganism and Osteocyte SubClassOf StructuralCell,  False.
MatureCell and MioBlast SubClassOf CirculatingCell,  False.
ElectricallyActiveCell and PlantCell SubClassOf Cell,  The given
ChondroBlast and Neuron SubClassOf StructuralCell,  False.
ChondroBlast and SclerenchymaCell SubClassOf StructuralCell,  False.
Erythrocyte and StructuralCell SubClassOf CirculatingCell,  False.
AnimalCell SubClassOf Cell,  True.
AnimalCell SubClassOf SclerenchymaCell,  False.
AnimalCell SubClassOf LeafCell,  False.
