BallGame and FootballTeam SubClassOf Player,  False.
plays_for some BallGame SubClassOf Team,  False.
BallGame and FootballTeam SubClassOf Person,  False.
FootballPlayer and Person SubClassOf Game,  False.
BallGame and FootballPlayer SubClassOf Football,  False.
managed_by some BallGame SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf FootballPlayer,  False.
BallGame and Manager SubClassOf Game,  False.
FootballTeam and Player SubClassOf FootballPlayer,  False.
Game SubClassOf plays some BallGame,  False.
Game and Person SubClassOf Football,  False.
Game and Person SubClassOf BallGame,  False.
plays some Team SubClassOf FootballPlayer,  The given
FootballPlayer and Manager SubClassOf Person,  True.
FootballPlayer and Manager SubClassOf Team,  False.
FootballPlayer and Manager SubClassOf Player,  False.
FootballPlayer and Manager SubClassOf FootballTeam,  False.
FootballPlayer and Manager SubClassOf Game,  False.
FootballPlayer and Manager SubClassOf Football,  False.
Manager SubClassOf Person,  The statement
FootballPlayer SubClassOf Person,  True.
FootballPlayer SubClassOf Thing,  True.
FootballPlayer SubClassOf Person and Thing,  The statement
FootballPlayer SubClassOf Manager,  False.
FootballPlayer SubClassOf Team,  False.
FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Person and Player,  True.
FootballPlayer SubClassOf FootballTeam,  False.
FootballPlayer SubClassOf Game,  False.
FootballPlayer SubClassOf Football,  False.
FootballPlayer SubClassOf BallGame,  False.
FootballPlayer SubClassOf Person and Player and Thing,  False.
Football and Player SubClassOf Person,  False.
FootballTeam and Team SubClassOf Football,  False.
Person SubClassOf FootballPlayer,  False.
plays_for some Manager SubClassOf Football,  False.
FootballPlayer and FootballTeam SubClassOf BallGame,  False.
plays some FootballTeam SubClassOf BallGame,  The given
Person and Team SubClassOf Football,  False.
BallGame and Team SubClassOf FootballTeam,  False.
Manager and Person SubClassOf Player,  False.
plays some Person SubClassOf Manager,  False.
plays_for some BallGame SubClassOf Game,  False.
BallGame and Team SubClassOf Player,  False.
FootballPlayer and FootballTeam SubClassOf Manager,  False.
Football and FootballTeam SubClassOf Team,  False.
Football and Manager SubClassOf Game,  False.
plays some Team SubClassOf Manager,  False.
Football and Team SubClassOf FootballTeam,  False.
Football and FootballPlayer SubClassOf FootballTeam,  False.
FootballTeam SubClassOf managed_by some Team,  False.
FootballTeam and Team SubClassOf Person,  False.
plays_for some Football SubClassOf Football,  False.
Football and Manager SubClassOf Team,  False.
FootballPlayer SubClassOf managed_by some Player,  False.
Person SubClassOf Team,  False.
Football and Game SubClassOf Manager,  False.
FootballTeam and Player SubClassOf Manager,  False.
managed_by some Person SubClassOf FootballTeam,  False.
managed_by some Team SubClassOf Player,  False.
Football SubClassOf managed_by some FootballTeam,  False.
Player and Team SubClassOf Person,  False.
plays some Football SubClassOf FootballPlayer,  False.
Game SubClassOf managed_by some FootballPlayer,  False.
Football SubClassOf managed_by some Player,  False.
FootballTeam and Game SubClassOf Football,  False.
Manager SubClassOf managed_by some Football,  False.
managed_by some Team SubClassOf FootballTeam,  The given
BallGame and Football SubClassOf Team,  False.
Player SubClassOf managed_by some FootballPlayer,  False.
Player SubClassOf plays some Football,  False.
Person SubClassOf plays some BallGame,  False.
Football SubClassOf plays some Person,  False.
plays some Player SubClassOf Person,  The given
Game and Player SubClassOf BallGame,  False.
Game SubClassOf plays some Football,  False.
Manager SubClassOf plays some BallGame,  False.
Manager SubClassOf managed_by some Game,  False.
Game and Manager SubClassOf Team,  False.
FootballPlayer and Person SubClassOf Manager,  False.
Person SubClassOf BallGame,  False.
Football and Team SubClassOf Player,  False.
BallGame SubClassOf managed_by some Person,  False.
Player SubClassOf FootballPlayer,  False.
FootballPlayer and Team SubClassOf Football,  False.
plays_for some Football SubClassOf BallGame,  The given
Football SubClassOf plays some FootballPlayer,  False.
BallGame and Team SubClassOf Game,  False.
Football and Manager SubClassOf Person,  False.
plays_for some Team SubClassOf Game,  False.
Game and Team SubClassOf FootballTeam,  False.
Football and Player SubClassOf Manager,  False.
FootballPlayer SubClassOf managed_by some FootballTeam,  The given
BallGame SubClassOf plays some BallGame,  False.
managed_by some FootballPlayer SubClassOf Person,  The given
plays_for some Game SubClassOf Football,  False.
Football and FootballTeam SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf Game,  False.
BallGame SubClassOf plays some Manager,  False.
