HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure,  False.
HamiltonDepressionMeasure and HamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
Satiety and WeigthDifference SubClassOf ASAAConcentration,  False.
GeneExpressionDifference and PlasmaDrugConcentration SubClassOf LowRemission,  False.
ModerateReductionInMontgomeryAsbergDepressionRating and WeightMeasure SubClassOf HamiltonDepressionMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf PharmacodynamicMeasure,  True.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf ChildDepressionScore,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf MolecularMeasure,  False.
HighReductionInMontgomeryAsbergDepressionRating and SimilarRemissionOddsRatio SubClassOf RemissionFrequency,  True.
SimilarRemissionOddsRatio SubClassOf RemissionFrequency,  False.
HighReductionInMontgomeryAsbergDepressionRating SubClassOf RemissionFrequency,  False.
CognitiveMeasure and HighHamiltonDepressionScore SubClassOf ChildDepressionScore,  True,
CognitiveMeasure SubClassOf ChildDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf ChildDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf MolecularMeasure,  False.
HighHamiltonDepressionScore SubClassOf RemissionFrequency,  False.
HighHamiltonDepressionScore SubClassOf SatietyFrequency,  False.
HighHamiltonDepressionScore SubClassOf ModerateReductionInHamiltonAnxietyScore,  False.
HighHamiltonDepressionScore SubClassOf ASAAConcentrationIncrease,  False.
HighHamiltonDepressionScore SubClassOf ERVisitFrequency,  False.
HighHamiltonDepressionScore SubClassOf ForcedExperiatoryVolume,  False.
HighHamiltonDepressionScore SubClassOf DailyBloodPressure,  False.
HighHamiltonDepressionScore SubClassOf HighRemission,  False.
HighHamiltonDepressionScore SubClassOf WeigthDifference,  False.
HighHamiltonDepressionScore SubClassOf GeneExpressionDifference,  False.
HighHamiltonDepressionScore SubClassOf ExerciseResponse,  False.
HighHamiltonDepressionScore SubClassOf NeoplasmFrequency,  False.
HighHamiltonDepressionScore SubClassOf GenotypeMeasure,  False.
HighHamiltonDepressionScore SubClassOf HighReductionInMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf QualityOfLife,  False.
HighHamiltonDepressionScore SubClassOf AirwayResponsivenessUsingMethacholine,  False.
HighHamiltonDepressionScore SubClassOf HighReductionInHamiltonAnxietyScore,  False.
HighHamiltonDepressionScore SubClassOf ModerateHamiltonDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf LowReductionInChildDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf BodyMassIndexDifference,  False.
HighHamiltonDepressionScore SubClassOf HigherDiseaseSusceptibiltyOdds,  False.
HighHamiltonDepressionScore SubClassOf ForcedVitalCapacity,  False.
HighHamiltonDepressionScore SubClassOf HamiltonDepressionMeasure,  True.
HighHamiltonDepressionScore SubClassOf ChildDepressionScore and HamiltonDepressionMeasure,  False\n
HighHamiltonDepressionScore SubClassOf PlasmaDrugConcentration,  False.
HighHamiltonDepressionScore SubClassOf ElectrocardiogramQTInterval,  False.
HighHamiltonDepressionScore SubClassOf PharmacokineticMeasure,  False.
HighHamiltonDepressionScore SubClassOf LowMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf RemissionMeasure,  False.
HighHamiltonDepressionScore SubClassOf BiologicalMeasure,  True.
HighHamiltonDepressionScore SubClassOf BiologicalMeasure and ChildDepressionScore,  False\n
HighHamiltonDepressionScore SubClassOf GeneExpressionMeasure,  False.
HighHamiltonDepressionScore SubClassOf CellCount,  False.
HighHamiltonDepressionScore SubClassOf ASAAMeasure,  True.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf PopulationVariation,  False.
HighHamiltonDepressionScore SubClassOf MetabolicMeasure,  False.
HighHamiltonDepressionScore SubClassOf TaxonomicMeasure,  False.
HighHamiltonDepressionScore SubClassOf LowRemission,  False.
HighHamiltonDepressionScore SubClassOf DrugClearance,  False.
HighHamiltonDepressionScore SubClassOf ASAAConcentrationDifference,  False.
HighHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRatingDifference,  False.
HighHamiltonDepressionScore SubClassOf ASAAConcentrationDecrease,  False.
HighHamiltonDepressionScore SubClassOf ModerateMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf BodyMassIndexMeasure,  False.
HighHamiltonDepressionScore SubClassOf IncreasedGeneExpression,  False.
HighHamiltonDepressionScore SubClassOf PathogenCount,  False.
HighHamiltonDepressionScore SubClassOf SimilarDiseaseSusceptibilityOdds,  False.
HighHamiltonDepressionScore SubClassOf SatietyDifference,  False.
HighHamiltonDepressionScore SubClassOf DiseaseFrequency,  False.
HighHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionMeasure,  False.
HighHamiltonDepressionScore SubClassOf CognitiveMeasure,  False.
HighHamiltonDepressionScore SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf HighMontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf WeightLoss,  False.
HighHamiltonDepressionScore SubClassOf Gender,  False.
HighHamiltonDepressionScore SubClassOf HamiltonAnxietyScore,  False.
HighHamiltonDepressionScore SubClassOf SatietyDecrease,  False.
HighHamiltonDepressionScore SubClassOf Weigth,  False.
HighHamiltonDepressionScore SubClassOf Race,  False.
HighHamiltonDepressionScore SubClassOf WeigthGain,  False.
HighHamiltonDepressionScore SubClassOf AsthmaFrequency,  False.
HighHamiltonDepressionScore SubClassOf DecreasedGeneExpression,  False.
HighHamiltonDepressionScore SubClassOf PharmacodynamicMeasure,  False.
HighHamiltonDepressionScore SubClassOf ModerateRemission,  False.
HighHamiltonDepressionScore SubClassOf TissueMeasure,  False.
HighHamiltonDepressionScore SubClassOf MontgomeryAsbergDepressionRating,  False.
HighHamiltonDepressionScore SubClassOf HighReductionInChildDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf ZeroRemission,  False.
HighHamiltonDepressionScore SubClassOf DoseFrequency,  False.
HighHamiltonDepressionScore SubClassOf HamiltonAnxietyScoreDifference,  False.
HighHamiltonDepressionScore SubClassOf DrugEfficacy,  False.
HighHamiltonDepressionScore SubClassOf WeightMeasure,  False.
HighHamiltonDepressionScore SubClassOf CoagulationProfile,  False.
HighHamiltonDepressionScore SubClassOf LowReductionInHamiltonDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf BloodPressure,  False.
HighHamiltonDepressionScore SubClassOf PulmonaryFunctionMeasure,  False.
HighHamiltonDepressionScore SubClassOf SatietyIncrease,  False.
HighHamiltonDepressionScore SubClassOf DiseaseSusceptibilityOdds,  False.
HighHamiltonDepressionScore SubClassOf LowHamiltonDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf BoneMineralDensity,  False.
HighHamiltonDepressionScore SubClassOf NormalGeneExpression,  False.
HighHamiltonDepressionScore SubClassOf ReninAngiotensinSystemMeasure,  False.
HighHamiltonDepressionScore SubClassOf BloodSerumProteinCount,  False.
HighHamiltonDepressionScore SubClassOf AnxietyMeasure,  False.
HighHamiltonDepressionScore SubClassOf HamiltonDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionScore and HamiltonDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf SideEffectRate,  False.
HighHamiltonDepressionScore SubClassOf DepressionMeasure,  True.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionScore and DepressionMeasure and HamiltonDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf GeneExpression,  False.
HighHamiltonDepressionScore SubClassOf Dose,  False.
HighHamiltonDepressionScore SubClassOf SatietyMeasure,  False.
HighHamiltonDepressionScore SubClassOf LowerDiseaseSusceptibilityOdds,  False.
HighHamiltonDepressionScore SubClassOf SideEffectFrequency,  False.
HighHamiltonDepressionScore SubClassOf MyocardialInfarctionFrequency,  False.
HighHamiltonDepressionScore SubClassOf ZeroDrugEfficacy,  False.
HighHamiltonDepressionScore SubClassOf Satiety,  False.
HighHamiltonDepressionScore SubClassOf ClinicalOutcomeMeasure,  True.
HighHamiltonDepressionScore SubClassOf ASAAMeasure and ChildDepressionScore and ClinicalOutcomeMeasure and DepressionMeasure and HamiltonDepressionScore,  True.
HighHamiltonDepressionScore SubClassOf LipidProfile,  False.
HighHamiltonDepressionScore SubClassOf BodyMassIndexDecrease,  False.
HighHamiltonDepressionScore SubClassOf HighDrugEfficacy,  False.
HighHamiltonDepressionScore SubClassOf BodyMassIndexIncrease,  False.
HighHamiltonDepressionScore SubClassOf _24HourBloodPressure,  False.
HighHamiltonDepressionScore SubClassOf HighReductionInHamiltonDepressionScore,  False.
HighHamiltonDepressionScore SubClassOf BodyMassIndex,  False.
HighHamiltonDepressionScore SubClassOf DrugEfficacyMeasure,  False.
HighHamiltonDepressionScore SubClassOf BiophysicalMeasure,  False.
HighHamiltonDepressionScore SubClassOf ChildDepressionScoreDifference,  False.
HighHamiltonDepressionScore SubClassOf LowReductionInHamiltonAnxietyScore,  False.
HighHamiltonDepressionScore SubClassOf ChildDepressionMeasure,  True.
