Crop and MarinePlant SubClassOf Arthropod,  False.
Canopy and MarineMicrobiota SubClassOf Macroalgae,  False.
MarineInvertebrate and Poultry SubClassOf Human,  False.
Diatom and Human SubClassOf Invertebrate,  False.
Amphibian and Coral SubClassOf VegetationCover,  False.
Algae and Mammal SubClassOf Reptile,  False.
Coccolithophore and Sponge SubClassOf Roundworm,  False.
FloweringPlant and MarineBird SubClassOf Canopy,  False.
MarineMammal and Roundworm SubClassOf MarineBird,  False.
Amoebae and Leaf SubClassOf Flatworm,  False.
IndigenousVegetation and Invertebrate SubClassOf SlimeMold,  False.
Foraminifer and Vegetation SubClassOf Millipede,  False.
Fungi and MarineMicrobiota SubClassOf Zooplankton,  False.
DeciduousVegetation and Microbiota SubClassOf Mammal,  False.
Moss and Reptile SubClassOf IndigenousSpecies,  False.
Macroalgae and Microphyte SubClassOf Radiolarian,  False.
Chlorophyll and Coccolithophore SubClassOf Bacteria,  False.
FloweringPlant and Microphyte SubClassOf Poultry,  False.
Crop and Dairy SubClassOf Yeast,  False.
MarineMicrobiota and Mold SubClassOf Algae,  False.
Invertebrate and Jellyfish SubClassOf EvergreenVegetation,  False.
Roundworm and Vegetation SubClassOf Leaf,  False.
Ciliate and MarineMammal SubClassOf Vegetation,  False.
Algae and Mushroom SubClassOf Centipede,  False.
Echinoderm and Reptile SubClassOf Microphyte,  False.
Anemone and Microphyte SubClassOf Pollen,  False.
Animal and Plant SubClassOf MarineAnimal,  False.
FloweringPlant and Leaf SubClassOf Livestock,  False.
Pollen and Radiolarian SubClassOf Coral,  False.
Crown and MarineInvertebrate SubClassOf Mushroom,  False.
Fern and Fungi SubClassOf ExoticSpecies,  False.
Nutrient and Protist SubClassOf Sponge,  False.
Sporozoan SubClassOf Bird,  False.
Coccolithophore and Lichen SubClassOf Vertebrate,  False.
Crown and Plankton SubClassOf Plant,  False.
Insect and SlimeMold SubClassOf Echinoderm,  False.
Lichen and VegetationCover SubClassOf Amphibian,  False.
Diatom and Litter SubClassOf Flagellate,  False.
Macroalgae and VegetationSpecies SubClassOf Yeast,  False.
Amoebae and Leaf SubClassOf Centipede,  False.
Chlorophyll and IndigenousSpecies SubClassOf Fern,  False.
Livestock and Radiolarian SubClassOf Poultry,  False.
Dairy and Millipede SubClassOf EvergreenVegetation,  False.
Invertebrate and Phytoplankton SubClassOf Coccolithophore,  False.
Chlorophyll and Jellyfish SubClassOf ExoticSpecies,  False.
ExoticSpecies and Mushroom SubClassOf IndigenousVegetation,  False.
Ciliate and Mammal SubClassOf MarineAnimal,  False.
Poultry SubClassOf Chlorophyll,  False.
Liverwort and Macroalgae SubClassOf Insect,  False.
Bird and Radiolarian SubClassOf Litter,  False.
Human and Protist SubClassOf Mollusk,  False.
Livestock and Microalgae SubClassOf TreeRing,  False.
Crustacean and Millipede SubClassOf Ciliate,  False.
Insect and MarineAnimal SubClassOf Foraminifer,  False.
Arachnid and Mushroom SubClassOf Crustacean,  False.
Flagellate and Mammal SubClassOf ExoticVegetation,  False.
Amoebae and Animal SubClassOf MarineInvertebrate,  False.
Phytoplankton and SegmentedWorm SubClassOf Amoebae,  False.
Canopy and EvergreenVegetation SubClassOf MarineMicrobiota,  False.
Macrophyte and Mollusk SubClassOf Phytoplankton,  False.
Algae and Phytoplankton SubClassOf Jellyfish,  False.
IndigenousSpecies and Mold SubClassOf DominantSpecies,  False.
Canopy and Livestock SubClassOf Radiolarian,  False.
Macrophyte and MarineMammal SubClassOf Anemone,  False.
Phytoplankton and Vegetation SubClassOf Protist,  False.
Chlorophyll and IndigenousVegetation SubClassOf Zooplankton,  False.
Flatworm and Macroalgae SubClassOf Insect,  False.
ExoticVegetation and MarineMicrobiota SubClassOf Chlorophyll,  False.
Coral and Yeast SubClassOf Vegetation,  False.
MarineInvertebrate and Moss SubClassOf Liverwort,  False.
Mollusk and Protist SubClassOf Macrophyte,  False.
Centipede and Plant SubClassOf Plankton,  False.
Fern and Microbiota SubClassOf Crop,  False.
MarineMicrobiota and Yeast SubClassOf Livestock,  False.
Ciliate and Macrophyte SubClassOf Coral,  False.
Amphibian and Microalgae SubClassOf Crustacean,  False.
Liverwort and MarineMammal SubClassOf Ciliate,  False.
Conifer and Flagellate SubClassOf FungiTaxonomy,  False.
FloweringPlant and Lichen SubClassOf DeciduousVegetation,  False.
Crown and Echinoderm SubClassOf Nutrient,  False.
Canopy and MicrobiotaTaxonomy SubClassOf Pollen,  False.
Macrophyte and Plant SubClassOf MarineMammal,  False.
Crop and Litter SubClassOf Moss,  False.
Fish and Macroalgae SubClassOf Arthropod,  False.
Anemone and Protist SubClassOf Invertebrate,  False.
Litter and Sporozoan SubClassOf Human,  False.
Human and TreeRing SubClassOf Canopy,  False.
MarinePlant and Millipede SubClassOf Microbiota,  False.
Crown and Insect SubClassOf Diatom,  False.
FungiTaxonomy and VegetationCover SubClassOf MicrobiotaTaxonomy,  False.
Jellyfish and SegmentedWorm SubClassOf FloweringPlant,  False.
Amphibian and Mammal SubClassOf MarineBird,  False.
Amoebae and Canopy SubClassOf Arachnid,  False.
IndigenousSpecies and Sponge SubClassOf SlimeMold,  False.
Animal and Dairy SubClassOf Conifer,  False.
Leaf SubClassOf Pollen,  False.
Ciliate and Lichen SubClassOf Litter,  False.
Amphibian and Bacteria SubClassOf IndigenousVegetation,  False.
Amoebae and Fungi SubClassOf MarineMammal,  False.
Fish and Invertebrate SubClassOf Microalgae,  False.
Chlorophyll and MarinePlant SubClassOf ExoticSpecies,  False.
Conifer and ExoticSpecies SubClassOf Fish,  False.
Poultry and VegetationCover SubClassOf Arthropod,  False.
BlueGreenAlgae and Yeast SubClassOf MarineInvertebrate,  False.
MarineInvertebrate and MicrobiotaTaxonomy SubClassOf Invertebrate,  False.
Coccolithophore and Litter SubClassOf MicrobiotaTaxonomy,  False.
Crop and Plant SubClassOf Reptile,  False.
Fern and Flatworm SubClassOf Animal,  True.
Fern and Flatworm SubClassOf VegetationCover,  False.
Fern and Flatworm SubClassOf Microalgae,  False.
Fern and Flatworm SubClassOf Fungi,  False.
Fern and Flatworm SubClassOf Arachnid,  False.
Fern and Flatworm SubClassOf VegetationSpecies,  False.
Fern and Flatworm SubClassOf Livestock,  False.
Fern and Flatworm SubClassOf Sponge,  False.
Fern and Flatworm SubClassOf Diatom,  False.
Fern and Flatworm SubClassOf FungiTaxonomy,  False.
Fern and Flatworm SubClassOf MarinePlant,  False.
Fern and Flatworm SubClassOf Moss,  False.
Fern and Flatworm SubClassOf Vertebrate,  False.
Fern and Flatworm SubClassOf Radiolarian,  False.
Fern and Flatworm SubClassOf Human,  False.
Fern and Flatworm SubClassOf MarineMicrobiota,  False.
Fern SubClassOf Animal,  False.
Flatworm SubClassOf Animal,  True.
Flatworm SubClassOf VegetationCover,  False.
Flatworm SubClassOf Microalgae,  False.
Flatworm SubClassOf Fungi,  False.
Flatworm SubClassOf Arachnid,  False.
Flatworm SubClassOf VegetationSpecies,  False.
Flatworm SubClassOf Livestock,  False.
Flatworm SubClassOf Sponge,  False.
Flatworm SubClassOf Diatom,  False.
Flatworm SubClassOf FungiTaxonomy,  False\n
Flatworm SubClassOf MarinePlant,  False.
Flatworm SubClassOf Moss,  False.
Flatworm SubClassOf Vertebrate,  False.
Flatworm SubClassOf Radiolarian,  False.
Flatworm SubClassOf Human,  False.
Flatworm SubClassOf MarineMicrobiota,  False.
Flatworm SubClassOf Flagellate,  False.
Flatworm SubClassOf Poultry,  False.
Flatworm SubClassOf MarineMammal,  False.
Flatworm SubClassOf Amphibian,  False.
Flatworm SubClassOf Millipede,  False.
Flatworm SubClassOf Plankton,  False.
Flatworm SubClassOf Roundworm,  False.
Flatworm SubClassOf Microphyte,  False.
Flatworm SubClassOf SlimeMold,  False.
Flatworm SubClassOf Microbiota,  False.
Flatworm SubClassOf MicrobiotaTaxonomy,  False.
Flatworm SubClassOf Coccolithophore,  False.
Flatworm SubClassOf Lichen,  False.
Flatworm SubClassOf Leaf,  False.
Flatworm SubClassOf Pollen,  False.
Flatworm SubClassOf Mushroom,  False.
Flatworm SubClassOf Fish,  False.
Flatworm SubClassOf Reptile,  False.
Flatworm SubClassOf MarineAnimal,  False.
Flatworm SubClassOf Macroalgae,  False.
Flatworm SubClassOf Foraminifer,  False.
Flatworm SubClassOf Dairy,  False.
Flatworm SubClassOf Liverwort,  False.
