Neuron and StructuralCell SubClassOf Erythrocyte,  False.
ElectricallyActiveCell and StructuralCell SubClassOf Erythrocyte,  False.
CellByDevelopmentStage and InMatureCell SubClassOf Osteocyte,  True\n
CellByDevelopmentStage and InMatureCell SubClassOf SclerenchymaCell,  True\n
InMatureCell SubClassOf SclerenchymaCell,  False.
CellByDevelopmentStage SubClassOf SclerenchymaCell,  True.
CellByDevelopmentStage SubClassOf LeafCell,  False.
CellByDevelopmentStage SubClassOf Erythrocyte,  True.
CellByDevelopmentStage SubClassOf Erythrocyte and SclerenchymaCell,  False.
CellByDevelopmentStage SubClassOf PhotosyntheticCell,  False.
CellByDevelopmentStage SubClassOf CirculatingCell,  True.
CellByDevelopmentStage SubClassOf CirculatingCell and SclerenchymaCell,  False.
CellByDevelopmentStage SubClassOf PlantCell,  True.
CellByDevelopmentStage SubClassOf PlantCell and SclerenchymaCell,  False,
CellByDevelopmentStage SubClassOf CellByClass,  False.
CellByDevelopmentStage SubClassOf MatureCell,  True.
CellByDevelopmentStage SubClassOf MatureCell and SclerenchymaCell,  True.
CellByDevelopmentStage SubClassOf AnimalCell,  True.
CellByDevelopmentStage SubClassOf AnimalCell and MatureCell and SclerenchymaCell,  True\n
CellByDevelopmentStage SubClassOf Cell,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and SclerenchymaCell,  True\n
CellByDevelopmentStage SubClassOf Miocyte,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and MatureCell and Miocyte and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf InMatureCell,  True\n
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and SclerenchymaCell,  True,
CellByDevelopmentStage SubClassOf Osteocyte,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and Osteocyte and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf ChondroBlast,  False.
CellByDevelopmentStage SubClassOf MioBlast,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and MioBlast and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf PhotoreceptorCell,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and PhotoreceptorCell and SclerenchymaCell,  True for
CellByDevelopmentStage SubClassOf CellByOrganism,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and CellByOrganism and InMatureCell and MatureCell and SclerenchymaCell,  True:
CellByDevelopmentStage SubClassOf ElectricallyActiveCell,  False.
CellByDevelopmentStage SubClassOf StructuralCell,  True.
CellByDevelopmentStage SubClassOf AnimalCell and Cell and InMatureCell and MatureCell and SclerenchymaCell and StructuralCell,  True for
CellByDevelopmentStage SubClassOf Neuron,  True.
