BallGame and FootballTeam SubClassOf Player,  False.
plays_for some BallGame SubClassOf Team,  True.
plays_for some BallGame SubClassOf Manager,  False.
BallGame SubClassOf Team,  False.
Thing SubClassOf plays_for some BallGame,  True.
BallGame SubClassOf Manager,  False.
BallGame SubClassOf Player,  False.
BallGame SubClassOf FootballTeam,  True\n
Thing SubClassOf FootballTeam,  False.
BallGame and FootballTeam SubClassOf Person,  False.
FootballPlayer and Person SubClassOf Game,  False.
BallGame and FootballPlayer SubClassOf Football,  True.
BallGame and FootballPlayer SubClassOf Manager,  False.
BallGame and FootballPlayer SubClassOf Team,  False.
BallGame and FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Player,  True.
FootballPlayer SubClassOf Thing,  True.
FootballPlayer SubClassOf Player and Thing,  True
FootballPlayer SubClassOf Manager,  False.
FootballPlayer SubClassOf Team,  False.
FootballPlayer SubClassOf FootballTeam,  False.
FootballPlayer SubClassOf Game,  False.
FootballPlayer SubClassOf Football,  False.
FootballPlayer SubClassOf Person,  True.
FootballPlayer SubClassOf Person and Player and Thing,  True,
FootballPlayer SubClassOf BallGame,  False.
managed_by some BallGame SubClassOf FootballPlayer,  False.
FootballTeam and Team SubClassOf FootballPlayer,  False.
BallGame and Manager SubClassOf Game,  True.
BallGame and Manager SubClassOf Team,  False.
BallGame and Manager SubClassOf Player,  True.
Manager SubClassOf Player,  False.
FootballTeam and Player SubClassOf FootballPlayer,  True.
FootballTeam and Player SubClassOf Manager,  False.
FootballTeam and Player SubClassOf Team,  False.
FootballTeam and Player SubClassOf Game,  False.
Player SubClassOf FootballPlayer,  True.
Player SubClassOf Thing,  True.
Player SubClassOf FootballPlayer and Thing,  True.
Player SubClassOf Manager,  False.
Player SubClassOf Team,  False.
Player SubClassOf FootballTeam,  False.
Player SubClassOf Game,  True.
Player SubClassOf FootballPlayer and Game and Thing,  True.
Player SubClassOf Football,  True.
Player SubClassOf Football and FootballPlayer and Game and Thing,  True.
Player SubClassOf Person,  True.
Player SubClassOf Football and FootballPlayer and Game and Person and Thing,  False.
Player SubClassOf BallGame,  False.
Game SubClassOf plays some BallGame,  True\n
Game SubClassOf Manager,  False.
Game SubClassOf Team,  False.
Game SubClassOf Player,  False.
Game SubClassOf FootballTeam,  False.
Game SubClassOf FootballPlayer,  True.
Game SubClassOf Thing,  True.
Game SubClassOf FootballPlayer and Thing,  True.
Game SubClassOf Football,  True.
Game SubClassOf Football and FootballPlayer and Thing,  False\n
Game SubClassOf Person,  False.
Game SubClassOf BallGame,  True.
Game SubClassOf BallGame and FootballPlayer and Thing,  False.
Game and Person SubClassOf BallGame,  True.
Game and Person SubClassOf Manager,  False.
Game and Person SubClassOf Team,  False.
Game and Person SubClassOf FootballTeam,  False.
Game SubClassOf BallGame and Thing,  True.
Game SubClassOf BallGame and Football and Thing,  True.
plays some Team SubClassOf FootballPlayer,  True\n
plays some Team SubClassOf Manager,  True\n
Team SubClassOf Manager,  True.
Team SubClassOf Thing,  True.
Team SubClassOf Manager and Thing,  True.
Team SubClassOf Player,  True.
Team SubClassOf Manager and Player and Thing,  True.
Team SubClassOf FootballTeam,  True.
Team SubClassOf FootballTeam and Manager and Player and Thing,  True,
Team SubClassOf Game,  True.
Team SubClassOf FootballTeam and Game and Manager and Player and Thing,  True\n
Team SubClassOf FootballPlayer,  True.
Team SubClassOf FootballPlayer and FootballTeam and Game and Manager and Player and Thing,  * Team
Team SubClassOf Football,  True.
Team SubClassOf Football and FootballTeam and Game and Manager and Player and Thing,  * Team
Team SubClassOf Person,  True.
Team SubClassOf FootballTeam and Game and Manager and Person and Player and Thing,  True:
Team SubClassOf BallGame,  True.
Team SubClassOf BallGame and FootballTeam and Game and Manager and Player and Thing,  True,
Team SubClassOf BallGame and FootballPlayer and FootballTeam and Game and Manager and Player and Thing,  True\n
Team SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Player and Thing,  False.
Team SubClassOf BallGame and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Thing,  * Team
Person SubClassOf FootballPlayer,  The answer
plays_for some Manager SubClassOf Football,  True.
plays_for some Manager SubClassOf Manager,  False.
plays_for some Manager SubClassOf Team,  True.
Manager SubClassOf Team,  False.
Thing SubClassOf Thing and (plays_for some (Manager and Thing)),  True.
Manager and Thing SubClassOf Team,  False.
Manager and Thing SubClassOf Player,  False.
Manager and Thing SubClassOf FootballTeam,  False.
Manager and Thing SubClassOf Game,  False.
Manager and Thing SubClassOf FootballPlayer,  False.
Manager and Thing SubClassOf Football,  False.
Manager and Thing SubClassOf Person,  False.
Manager and Thing SubClassOf BallGame,  False.
Thing and (plays_for some Manager) and (plays_for some Thing) SubClassOf Thing and (plays_for some (Manager and Thing)),  True.
Thing and (plays_for some (Manager and Thing)) SubClassOf Thing and (plays_for some (Manager and Thing)),  True.
Thing and (plays_for some Thing) SubClassOf Team,  False.
plays some FootballTeam SubClassOf BallGame,  True.
plays some FootballTeam SubClassOf Manager,  False.
plays some FootballTeam SubClassOf Team,  True.
FootballTeam SubClassOf Team,  True.
FootballTeam SubClassOf Thing,  True.
FootballTeam SubClassOf Team and Thing,  True.
FootballTeam SubClassOf Manager,  False.
FootballTeam SubClassOf Player,  False.
FootballTeam SubClassOf Game,  True.
FootballTeam SubClassOf Game and Team and Thing,  True\n
FootballTeam SubClassOf FootballPlayer,  False.
FootballTeam SubClassOf Football,  True.
FootballTeam SubClassOf Football and Game and Team and Thing,  False.
FootballTeam SubClassOf Person,  False.
FootballTeam SubClassOf BallGame,  True.
FootballTeam SubClassOf BallGame and Game and Team and Thing,  True,
FootballTeam SubClassOf BallGame and Football and Game and Team and Thing,  True:
Manager and Person SubClassOf Player,  False.
plays some Person SubClassOf Manager,  False.
Manager SubClassOf Person,  True.
Manager SubClassOf FootballTeam,  False.
Manager SubClassOf Game,  False.
Manager SubClassOf FootballPlayer,  False.
Manager SubClassOf Football,  False.
Manager SubClassOf Thing,  True.
Manager SubClassOf Person and Thing,  False.
Manager SubClassOf BallGame,  False.
Football and Manager SubClassOf Game,  True.
Football and Manager SubClassOf Team,  False.
Football and Manager SubClassOf Player,  False.
Football and Manager SubClassOf FootballTeam,  False.
Football SubClassOf Game,  True.
Football SubClassOf Thing,  True.
Football SubClassOf Game and Thing,  True,
Football SubClassOf Manager,  False.
Football SubClassOf Team,  True,
Football SubClassOf Game and Team and Thing,  True,
Football SubClassOf Player,  True.
Football SubClassOf Game and Player and Team and Thing,  * Football
Football SubClassOf FootballTeam,  False.
Football SubClassOf FootballPlayer,  True,
Football SubClassOf FootballPlayer and Game and Team and Thing,  True:
Football SubClassOf Person,  False.
Football SubClassOf BallGame,  True.
Football SubClassOf BallGame and Game and Team and Thing,  True,
Football SubClassOf BallGame and Game and Player and Team and Thing,  True,
Football SubClassOf BallGame and FootballPlayer and Game and Player and Team and Thing,  True:
Thing SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  False.
Thing SubClassOf Manager,  False.
Thing SubClassOf Team,  False.
Thing SubClassOf Player,  In the
Thing SubClassOf Game,  In knowledge
Thing SubClassOf FootballPlayer,  The answer
Thing SubClassOf Football,  False.
Thing SubClassOf Person,  True or
Thing SubClassOf BallGame,  False.
Thing and (plays some BallGame) and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)),  True.
Thing and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  False.
Thing and (plays some (BallGame and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager,  True.
