teaches some Researcher SubClassOf Professor,  True.
teaches some Researcher SubClassOf University,  False.
teaches some Researcher SubClassOf Project,  False.
teaches some Researcher SubClassOf Module,  True.
Researcher SubClassOf Module,  False.
Thing SubClassOf teaches some Researcher,  True.
Researcher SubClassOf University,  False.
Researcher SubClassOf Project,  In object
Researcher SubClassOf Professor,  True,
Thing SubClassOf Professor,  In a
manages some Project SubClassOf Person,  False.
Project SubClassOf Professor,  True.
Project SubClassOf University,  True.
Project SubClassOf Module,  False.
Project SubClassOf Professor and University,  True.
Project SubClassOf Teacher,  True\n
Project SubClassOf Professor and Teacher and University,  True.
Project SubClassOf Person,  True.
Project SubClassOf Person and Professor and Teacher and University,  True,
Project SubClassOf Researcher,  True.
Project SubClassOf Person and Professor and Researcher and Teacher and University,  * Project
teaches some Project SubClassOf University,  True.
Thing SubClassOf teaches some (Person and Professor and Project and Teacher and University),  False.
Thing SubClassOf University,  False.
Thing SubClassOf Project,  False.
Thing SubClassOf Module,  False.
Thing SubClassOf Teacher,  False.
Thing SubClassOf Person,  The answer
Thing SubClassOf Researcher,  False.
Person and Professor and Project and Teacher and University SubClassOf Module,  False.
Person and Professor and Project and Teacher and University SubClassOf Researcher,  True.
Professor and Project and Teacher and University SubClassOf Researcher,  True.
Project and Teacher and University SubClassOf Researcher,  False.
Professor and Teacher and University SubClassOf Researcher,  False.
Professor and Project and University SubClassOf Researcher,  False.
Professor and Project and Teacher SubClassOf Researcher,  True.
Teacher and University SubClassOf Researcher,  False.
Teacher and University SubClassOf Person,  True.
Teacher and University SubClassOf Project,  False.
Teacher and University SubClassOf Module,  False.
Teacher and University SubClassOf Professor,  True.
University SubClassOf Professor,  False.
Teacher SubClassOf Professor,  True.
Teacher SubClassOf University,  True,
Teacher SubClassOf Professor and University,  False.
Teacher SubClassOf Project,  False.
Teacher SubClassOf Module,  False.
Teacher SubClassOf Person,  True.
Teacher SubClassOf Person and Professor,  The answer
Teacher SubClassOf Researcher,  True.
